@relation pecans

@ATTRIBUTE Site numeric 
@ATTRIBUTE lat numeric 
@ATTRIBUTE long numeric 
@ATTRIBUTE ELEV numeric 
@ATTRIBUTE COKLM numeric 
@ATTRIBUTE MWM numeric 
@ATTRIBUTE MCM numeric 
@ATTRIBUTE RHIGH numeric 
@ATTRIBUTE RLOW numeric 
@ATTRIBUTE RRCORR numeric 
@ATTRIBUTE CMAT numeric 
@ATTRIBUTE CRR numeric 
@ATTRIBUTE RRCORR2 numeric 
@ATTRIBUTE SEASON numeric 
@ATTRIBUTE RRCORR3 numeric 
@ATTRIBUTE ET numeric 
@ATTRIBUTE BT numeric 
@ATTRIBUTE PET numeric 
@ATTRIBUTE AE numeric 
@ATTRIBUTE RUNOFF numeric 
@ATTRIBUTE BIO5 numeric 
@ATTRIBUTE BAR5 numeric 
@ATTRIBUTE NAGP numeric 
@ATTRIBUTE TEMP numeric 
@ATTRIBUTE WATD numeric 
@ATTRIBUTE MI numeric 
@ATTRIBUTE HIRX numeric 
@ATTRIBUTE SNOWAC numeric 
@ATTRIBUTE RRANGE numeric 
@ATTRIBUTE TRANGE numeric 
@ATTRIBUTE REVEN numeric 
@ATTRIBUTE MRAIN numeric 
@ATTRIBUTE MTEMP numeric 
@ATTRIBUTE SDTEMP numeric 
@ATTRIBUTE SDRAIN numeric 
@ATTRIBUTE CVTEMP numeric 
@ATTRIBUTE CVRAIN numeric 
@ATTRIBUTE WSTORAGE numeric 
@ATTRIBUTE PTOAE numeric 
@ATTRIBUTE PTOWATD numeric 
@ATTRIBUTE PTORUN numeric 
@ATTRIBUTE PTOWATR numeric 
@ATTRIBUTE PGROW numeric 
@ATTRIBUTE GROWC numeric 
@ATTRIBUTE WLTGRC numeric 
@ATTRIBUTE WATDGRC numeric 
@ATTRIBUTE RUNGRC numeric 
@ATTRIBUTE WATRGRC numeric 
@ATTRIBUTE WRET numeric 
@ATTRIBUTE PERWLTG numeric 
@ATTRIBUTE PERWDEF numeric 
@ATTRIBUTE PERWRET numeric 
@ATTRIBUTE DEFPER numeric 
@ATTRIBUTE AVWAT numeric 
@ATTRIBUTE CLIM numeric 
@ATTRIBUTE CLASS {W,D} 
@ATTRIBUTE MEDSTAB numeric 
@ATTRIBUTE SUCSTAB numeric 
@ATTRIBUTE SUCSTAB2 numeric 
@ATTRIBUTE WACCESS numeric 
@ATTRIBUTE LLAT numeric 
@ATTRIBUTE LBIO5 numeric 
@ATTRIBUTE LNAGP numeric 
@ATTRIBUTE LMEANELV numeric 
@ATTRIBUTE LET numeric 
@ATTRIBUTE LPET numeric 
@ATTRIBUTE LAE numeric 
@ATTRIBUTE LBT numeric 
@ATTRIBUTE LTRANGE numeric 
@ATTRIBUTE LCMAT numeric 
@ATTRIBUTE LMCM numeric 
@ATTRIBUTE LMWM numeric 
@ATTRIBUTE LMTEMP numeric 
@ATTRIBUTE LCVTEMP numeric 
@ATTRIBUTE LCRR numeric 
@ATTRIBUTE LREVEN numeric 
@ATTRIBUTE LRRCORR2 numeric 
@ATTRIBUTE LRRCORR3 numeric 
@ATTRIBUTE LRRANGE numeric 
@ATTRIBUTE LDEFPER numeric 
@ATTRIBUTE LPERWDEF numeric 
@ATTRIBUTE LPTOAE numeric 
@ATTRIBUTE LRUNOFF numeric 
@ATTRIBUTE LRHIGH numeric 
@ATTRIBUTE LRLOW numeric 
@ATTRIBUTE LCOKLM numeric 
@ATTRIBUTE LPERWLTG numeric 
@ATTRIBUTE LSNOWAC numeric 
@ATTRIBUTE LWACCESS numeric 
@ATTRIBUTE LPTORUN numeric 
@ATTRIBUTE LRUNGRC numeric 
@ATTRIBUTE LWRET numeric 
@ATTRIBUTE LWLTGRC numeric 
@ATTRIBUTE LBAR5 numeric 
@ATTRIBUTE LMRAIN numeric 
@ATTRIBUTE LWATD numeric 
@ATTRIBUTE LCVRAIN numeric 
@ATTRIBUTE LPTOWATD numeric 
@ATTRIBUTE LPTOWATR numeric 
@ATTRIBUTE LWATRGRC numeric 
@ATTRIBUTE LHIRX numeric 
@ATTRIBUTE LSSTAB2 numeric 
@ATTRIBUTE EXPREY numeric 
@ATTRIBUTE LEXPREY numeric 
@ATTRIBUTE Pecan {0,1}

@data
11,31.72,-87.22,178,116,27.1,8.9,172.21,55.88,-4,18.5583,1431.54,0.5,1,4.5,15.2214,18.5583,975.9617,885.3966,596.4202,25951.2096,15.2023,1707.0602,56.1543,90.5651,46.6799,0.6818,0,116.33,18.2,1.4436,32.4488,74.7573,6.6902,29.9251,36.0497,25.085,174.52,1.1023,10.7764,1.6364,11.9427,24,12,0,4,8,8,81.7204,0.001,0.3333,0.6667,33.3333,7,4,W,0.2083,0.0118,0.0118,1.019,1.5015,4.4142,3.2322,2.2504,1.1825,2.9894,2.9471,1.2685,1.2601,1.7288,1.7701,1.433,1.8963,3.4823,3.1558,0.1594,-3,1.0212,2.0657,1.523,-0.4643,0.0462,2.7756,2.2361,1.7473,2.0645,-1.9586,-2,0.0124,0.2165,0.9036,1.9124,-2,1.1819,1.5112,1.957,1.3994,1.0329,1.0775,0.9036,-0.1663,-1.6615,809.3566,2.9081,0
12,34.68,-86.88,600,442,26.2,3.8,159.77,82.55,-4,15.475,1404.87,0.5,1,0.5,14.2632,15.475,853.4114,770.4849,694.5149,28512.9585,21.0385,1355.2782,52.3697,82.9265,64.6181,0.6075,0,77.22,22.4,1.3647,51.668,68.5393,8.1576,22.0499,52.7144,18.8344,174.52,1.1076,10.2912,1.2288,8.1419,26,9,0,3,6,6,104.817,0.001,0.3333,0.6667,33.3333,7,3,W,0.1564,0.0099,0.0099,0.7642,1.5402,4.455,3.132,2.7782,1.1542,2.9312,2.8868,1.1896,1.3502,1.7031,1.7308,1.4183,1.8606,3.4847,3.1476,0.135,-3,0.8129,1.8877,1.523,-0.4643,0.0483,2.8417,2.2035,1.9167,2.6454,-1.9586,-2,-0.1111,0.093,0.7789,2.0205,-2,1.323,1.7132,1.9187,1.275,1.0129,0.9113,0.7789,-0.2165,-1.7011,549.2997,2.7398,0
13,33.4,-87,445,291,27.2,6.1,163.83,87.88,-4,17.0667,1508.25,0.5,1,0.5,14.7285,17.0667,919.9696,833.8049,760.6079,31082.6087,20.1164,1545.1369,53.4219,86.1647,63.9456,0.61,0,75.95,21.1,1.3035,53.641,70.7756,7.6748,22.0382,44.9695,17.5341,174.52,1.1033,10.6769,1.2095,8.8056,28,10,0,2,8,8,104.476,0.001,0.2,0.8,20,7,4,W,0.1372,0.0097,0.0097,0.8492,1.5239,4.4925,3.189,2.6484,1.1682,2.9638,2.9211,1.2321,1.3243,1.7166,1.749,1.4346,1.8738,3.4836,3.1785,0.1151,-3,0.8129,1.8805,1.3012,-0.6778,0.0466,2.8812,2.2144,1.9439,2.4639,-1.9586,-2,-0.0659,0.0862,0.9036,2.0191,-2,1.3036,1.7295,1.9354,1.2439,1.0289,0.9453,0.9036,-0.2147,-1.7055,564.6061,2.7517,0
14,33.66,-86.75,615,386,26.8,5.9,154.94,82.04,-4,16.7667,1371.34,0.5,1,0.5,14.6505,16.7667,901.6097,808.9871,629.9544,27044.5664,18.4034,1469.5455,53.7838,92.6225,52.0991,0.6575,0,72.9,20.9,1.3558,52.9495,70.8914,7.5862,20.8685,45.2454,18.2611,174.52,1.1145,9.7342,1.4312,9.2048,26,10,0,3,7,7,97.9497,0.001,0.3,0.7,30,7,4,W,0.1635,0.0105,0.0105,0.8492,1.5272,4.4321,3.1672,2.7889,1.1659,2.955,2.9079,1.2244,1.3201,1.7141,1.7474,1.4281,1.8744,3.4836,3.1371,0.1322,-3,0.8129,1.8627,1.4773,-0.5086,0.051,2.7993,2.1902,1.914,2.5866,-1.9586,-2,-0.0659,0.1587,0.8457,1.991,-2,1.2649,1.7239,1.9668,1.2615,0.9887,0.9645,0.8457,-0.1821,-1.6882,634.2869,2.8023,0
15,31.13,-87.05,160,56,26.9,8.3,193.04,87.88,-4,18.0333,1742.96,0.5,1,4.5,15.0827,18.0333,949.9851,949.9851,753.6022,41463.8012,21.6102,1918.7124,55.9429,0,83.4723,0.545,0,105.16,18.6,1.329,45.5242,74.1307,6.918,30.7608,38.3623,21.1783,174.52,1,949.9851,1.2606,6.6079,28,12,0,0,12,12,143.7645,0.001,0,1,0,8,4,W,0.1436,0.0097,0.0097,1.019,1.4933,4.6177,3.283,2.2041,1.1785,2.9777,2.9777,1.2561,1.2695,1.7245,1.7657,1.4298,1.8928,3.4826,3.2413,0.1235,-3,1.0212,2.0219,-2,-2,0.0043,2.8771,2.2856,1.9439,1.7483,-1.9586,-2,0.0124,0.104,1.0795,2.1577,-2,1.3347,1.6582,-2,1.3259,2.9777,0.8207,1.0795,-0.2636,-1.7055,757.5933,2.8794,0
16,31.05,-87.05,85,51,26.7,8.7,178.82,78.49,0.1,18,1679.45,4.6,2,4.5,15.1385,18,941.0247,941.0247,681.1909,41244.9041,21.837,1888.764,56.6275,0,78.4703,0.5603,0,100.33,18,1.2777,43.8933,74.8954,6.7047,27.444,37.2482,19.6093,174.52,1,941.0247,1.3814,6.5472,30,12,0,0,12,12,143.7292,0.001,0,1,0,8,4,W,0.0001,0.0095,0.0095,1.019,1.4922,4.6154,3.2762,1.9294,1.1801,2.9736,2.9736,1.2553,1.2553,1.7243,1.7686,1.4265,1.8971,3.4825,3.2252,0.1064,-3,1.0212,2.0014,-2,-2,0.0043,2.8333,2.2524,1.8948,1.7077,-1.9586,-2,0.0124,0.1435,1.0795,2.1576,-2,1.3392,1.6424,-2,1.2925,2.9736,0.8167,1.0795,-0.2516,-1.71,580.1121,2.7635,0
17,34.98,-85.8,670,496,25.4,3.4,171.96,93.73,-4,14.7833,1588.79,0.5,1,0.5,14.1067,14.7833,817.8509,776.0492,705.3707,38381.3687,27.9836,1371.5643,52.9056,41.8017,94.264,0.5148,0,78.23,22,1.2988,54.5069,68.75,7.999,23.4708,54.1079,17.7273,143.03,1.0539,19.565,1.1595,8.8808,30,9,0,1,8,8,92.0919,0.001,0.1111,0.8889,11.1111,7,3,W,0.1209,0.0086,0.0086,0.7642,1.5439,4.5841,3.1372,2.8261,1.1494,2.9127,2.8899,1.1698,1.3424,1.6971,1.7275,1.4048,1.8618,3.4849,3.2011,0.1135,-3,0.8129,1.8934,1.0461,-0.9169,0.0269,2.8484,2.2354,1.9719,2.6955,-1.9586,-2,-0.1111,0.068,0.9036,1.9643,-2,1.4469,1.7365,1.6213,1.2486,1.2917,0.9489,0.9036,-0.2884,-1.7305,553.5981,2.7432,0
18,32.03,-87.32,235,144,26.8,7.3,165.86,67.31,-4,17.6417,1449.57,0.5,1,0.5,14.8873,17.6417,936.947,857.5631,660.0979,26834.124,16.5755,1618.9063,55.1617,79.3839,54.7121,0.6464,0,98.55,19.5,1.373,40.5824,72.8412,7.2158,26.9491,40.9022,22.3093,174.52,1.0926,11.8027,1.4194,9.7936,24,11,0,3,8,8,95.6698,0.001,0.2727,0.7273,27.2727,7,4,W,0.171,0.0107,0.0107,0.9341,1.5057,4.4287,3.2092,2.3711,1.1728,2.9717,2.9333,1.2465,1.29,1.7213,1.7582,1.4281,1.8856,3.483,3.1612,0.1377,-3,0.8129,1.9937,1.4359,-0.5487,0.0424,2.8196,2.2197,1.8281,2.1584,-1.9586,-2,-0.025,0.1552,0.9036,1.9808,-2,1.2195,1.6083,1.8998,1.3485,1.0723,0.9914,0.9036,-0.1895,-1.684,651.6858,2.814,0
19,32.82,-85.65,680,266,25.7,5.2,159.77,77.98,-4,15.725,1391.41,0.5,1,0.5,14.407,15.725,844.6215,793.0575,664.7295,28767.5609,20.2329,1421.8237,54.5615,51.5641,64.7377,0.607,0,81.79,20.5,1.3779,48.8077,71.0042,7.4983,23.0014,47.6837,19.8372,174.52,1.065,16.38,1.2706,9.0614,26,9,0,2,7,6,93.2112,0.001,0.2222,0.6667,22.2222,7,3,W,0.1653,0.0102,0.0102,0.7642,1.5163,4.4589,3.1528,2.8325,1.1586,2.9267,2.8993,1.1966,1.3118,1.7052,1.7419,1.4099,1.8751,3.484,3.1435,0.1392,-3,0.8129,1.9127,1.347,-0.6341,0.0314,2.8227,2.2035,1.892,2.4249,-1.9586,-2,-0.1111,0.1074,0.8457,1.9695,-2,1.3061,1.6885,1.7124,1.2975,1.2146,0.9577,0.7789,-0.2168,-1.6946,733.6606,2.8655,0
20,34.12,-85.73,617,414,26.3,4.7,179.32,77.22,-4,15.8917,1499.36,0.5,1,0.5,14.4054,15.8917,863.9728,789.3628,764.6631,31915.7455,22.6217,1410.8448,53.2143,74.61,73.5425,0.5762,0,102.1,21.6,1.4352,43.0627,69.7055,7.8364,27.163,49.3117,21.7397,174.52,1.0945,11.5799,1.1299,8.3239,28,9,0,2,7,7,103.794,0.001,0.2222,0.7778,22.2222,7,3,W,0.1794,0.0103,0.0103,0.7642,1.5331,4.504,3.1495,2.7903,1.1585,2.9365,2.8973,1.2012,1.3345,1.7066,1.738,1.42,1.8675,3.4842,3.1759,0.1569,-3,0.8129,2.009,1.347,-0.6341,0.0432,2.8835,2.2536,1.8877,2.617,-1.9586,-2,-0.1111,0.0569,0.8457,2.0162,-2,1.3545,1.6341,1.8729,1.3373,1.0641,0.9208,0.8457,-0.2394,-1.6925,586.4243,2.7682,0
21,32.87,-87.23,450,241,26.8,6.4,177.29,84.33,-4,17.1083,1517.89,0.5,1,0.5,14.7324,17.1083,915.9811,864.1066,684.2454,30223.4619,18.435,1639.4635,54.283,51.8745,65.7119,0.6035,0,92.96,20.4,1.4016,47.5661,71.5877,7.483,24.9468,43.739,19.7222,174.52,1.06,17.6576,1.3387,9.0257,26,10,0,2,8,8,101.4855,0.001,0.2,0.8,20,7,4,W,0.1743,0.0104,0.0104,0.8492,1.5169,4.4803,3.2147,2.6532,1.1683,2.9619,2.9366,1.2332,1.3096,1.7169,1.7513,1.4281,1.8785,3.4834,3.1812,0.1466,-3,0.8129,1.9683,1.3012,-0.6778,0.0294,2.8352,2.2487,1.926,2.382,-1.9586,-2,-0.0659,0.1299,0.9036,2.0064,-2,1.2656,1.6773,1.715,1.295,1.2472,0.956,0.9036,-0.2193,-1.6904,623.1102,2.7946,0
