@relation pecans

@ATTRIBUTE Site numeric 
@ATTRIBUTE lat numeric 
@ATTRIBUTE long numeric 
@ATTRIBUTE ELEV numeric 
@ATTRIBUTE COKLM numeric 
@ATTRIBUTE MWM numeric 
@ATTRIBUTE MCM numeric 
@ATTRIBUTE RHIGH numeric 
@ATTRIBUTE RLOW numeric 
@ATTRIBUTE RRCORR numeric 
@ATTRIBUTE CMAT numeric 
@ATTRIBUTE CRR numeric 
@ATTRIBUTE RRCORR2 numeric 
@ATTRIBUTE SEASON numeric 
@ATTRIBUTE RRCORR3 numeric 
@ATTRIBUTE ET numeric 
@ATTRIBUTE BT numeric 
@ATTRIBUTE PET numeric 
@ATTRIBUTE AE numeric 
@ATTRIBUTE RUNOFF numeric 
@ATTRIBUTE BIO5 numeric 
@ATTRIBUTE BAR5 numeric 
@ATTRIBUTE NAGP numeric 
@ATTRIBUTE TEMP numeric 
@ATTRIBUTE WATD numeric 
@ATTRIBUTE MI numeric 
@ATTRIBUTE HIRX numeric 
@ATTRIBUTE SNOWAC numeric 
@ATTRIBUTE RRANGE numeric 
@ATTRIBUTE TRANGE numeric 
@ATTRIBUTE REVEN numeric 
@ATTRIBUTE MRAIN numeric 
@ATTRIBUTE MTEMP numeric 
@ATTRIBUTE SDTEMP numeric 
@ATTRIBUTE SDRAIN numeric 
@ATTRIBUTE CVTEMP numeric 
@ATTRIBUTE CVRAIN numeric 
@ATTRIBUTE WSTORAGE numeric 
@ATTRIBUTE PTOAE numeric 
@ATTRIBUTE PTOWATD numeric 
@ATTRIBUTE PTORUN numeric 
@ATTRIBUTE PTOWATR numeric 
@ATTRIBUTE PGROW numeric 
@ATTRIBUTE GROWC numeric 
@ATTRIBUTE WLTGRC numeric 
@ATTRIBUTE WATDGRC numeric 
@ATTRIBUTE RUNGRC numeric 
@ATTRIBUTE WATRGRC numeric 
@ATTRIBUTE WRET numeric 
@ATTRIBUTE PERWLTG numeric 
@ATTRIBUTE PERWDEF numeric 
@ATTRIBUTE PERWRET numeric 
@ATTRIBUTE DEFPER numeric 
@ATTRIBUTE AVWAT numeric 
@ATTRIBUTE CLIM numeric 
@ATTRIBUTE CLASS {W,D} 
@ATTRIBUTE MEDSTAB numeric 
@ATTRIBUTE SUCSTAB numeric 
@ATTRIBUTE SUCSTAB2 numeric 
@ATTRIBUTE WACCESS numeric 
@ATTRIBUTE LLAT numeric 
@ATTRIBUTE LBIO5 numeric 
@ATTRIBUTE LNAGP numeric 
@ATTRIBUTE LMEANELV numeric 
@ATTRIBUTE LET numeric 
@ATTRIBUTE LPET numeric 
@ATTRIBUTE LAE numeric 
@ATTRIBUTE LBT numeric 
@ATTRIBUTE LTRANGE numeric 
@ATTRIBUTE LCMAT numeric 
@ATTRIBUTE LMCM numeric 
@ATTRIBUTE LMWM numeric 
@ATTRIBUTE LMTEMP numeric 
@ATTRIBUTE LCVTEMP numeric 
@ATTRIBUTE LCRR numeric 
@ATTRIBUTE LREVEN numeric 
@ATTRIBUTE LRRCORR2 numeric 
@ATTRIBUTE LRRCORR3 numeric 
@ATTRIBUTE LRRANGE numeric 
@ATTRIBUTE LDEFPER numeric 
@ATTRIBUTE LPERWDEF numeric 
@ATTRIBUTE LPTOAE numeric 
@ATTRIBUTE LRUNOFF numeric 
@ATTRIBUTE LRHIGH numeric 
@ATTRIBUTE LRLOW numeric 
@ATTRIBUTE LCOKLM numeric 
@ATTRIBUTE LPERWLTG numeric 
@ATTRIBUTE LSNOWAC numeric 
@ATTRIBUTE LWACCESS numeric 
@ATTRIBUTE LPTORUN numeric 
@ATTRIBUTE LRUNGRC numeric 
@ATTRIBUTE LWRET numeric 
@ATTRIBUTE LWLTGRC numeric 
@ATTRIBUTE LBAR5 numeric 
@ATTRIBUTE LMRAIN numeric 
@ATTRIBUTE LWATD numeric 
@ATTRIBUTE LCVRAIN numeric 
@ATTRIBUTE LPTOWATD numeric 
@ATTRIBUTE LPTOWATR numeric 
@ATTRIBUTE LWATRGRC numeric 
@ATTRIBUTE LHIRX numeric 
@ATTRIBUTE LSSTAB2 numeric 
@ATTRIBUTE EXPREY numeric 
@ATTRIBUTE LEXPREY numeric 
@ATTRIBUTE Pecan {0,1}

@data
255,34.15,-114.28,420,277.26,34,12.17,22.1,0.51,6,22.7683,131.33,10.5,4,4.5,16.4365,22.7683,1256.4507,154.9051,39.2752,392.6422,4.1542,94.5168,47.5018,1101.5456,-89.5475,9.5671,0,21.59,21.83,2.0193,2.3077,72.3671,8.1295,6.7867,35.7052,62.0119,68.95,8.1111,1.1406,31.9909,315.3821,5,12,8,8,4,3,3.9839,0.6667,0.6667,0.25,66.6667,1,4,D,3.4536,42.3149,24.9362,0.3533,1.5335,2.594,1.9755,2.6233,1.2158,3.0991,2.1901,1.3573,1.3391,1.7617,1.7936,1.5315,1.8829,3.4823,2.1184,0.3052,-3,1.0212,1.3343,1.824,-0.1696,0.9096,1.5942,1.3444,-0.2924,2.4429,-0.1696,-2,-0.4397,1.5052,0.6031,0.6014,0.9036,0.6185,0.3632,3.042,1.7925,0.0609,2.4989,0.4786,0.9808,1.397,46.4437,1.6669,0
256,34.23,-111.33,4913,381.61,24.11,4.39,75.44,9.4,1,13.4575,560.58,5.5,2,5.5,14.0722,13.4575,747.9128,446.4912,220.2886,8981.476,16.393,547.885,55.7274,301.4216,-25.0474,1.3342,0,66.04,19.72,1.6149,12.4602,71.4658,7.3588,20.073,54.6818,42.969,143.03,1.6751,2.4813,3.3951,16.2739,20,8,1,5,3,2,45.9577,0.125,0.625,0.25,62.5,3,3,D,0.0232,2.2511,2.2511,0.5967,1.5345,3.9533,2.7387,3.6913,1.1484,2.8739,2.6498,1.129,1.2949,1.6854,1.7355,1.3822,1.8778,3.485,2.7486,0.2081,-3,1.0607,1.8198,1.7959,-0.1972,0.2266,2.343,1.8776,0.9731,2.5816,-0.8697,-2,-0.217,0.5321,0.4786,1.6625,0.0043,1.2147,1.0955,2.4792,1.6332,0.3964,1.2118,0.3032,0.1252,0.3543,696.9735,2.8432,0
257,31.93,-109.83,4350,346.59,25.89,7,79.25,4.32,0.1,16.2825,335.53,4.6,2,4.6,14.7274,16.2825,860.4914,335.53,23.5083,2889.1079,8.4732,340.9683,56.2365,524.9614,-61.0072,2.5646,0,74.93,18.89,2.8343,5.4511,73.3531,7.1237,25.055,43.7509,89.6075,68.95,2.5646,1.6392,36.6037,146.8666,11,10,4,9,1,2,5.859,0.4,0.9,0.2,90,2,4,D,0.0007,17.8992,17.8992,0.5167,1.5043,3.4608,2.5327,3.6385,1.1681,2.9347,2.5257,1.2117,1.2762,1.71,1.7559,1.4131,1.8885,3.4834,2.5257,0.4524,-3,1.0253,1.8747,1.9543,-0.041,0.4107,1.3714,1.899,0.6355,2.5398,-0.3872,-2,-0.2785,1.5636,0.0043,0.7686,0.6031,0.928,0.7365,2.7201,1.9523,0.2173,2.167,0.3032,0.409,1.2531,399.3089,2.6013,0
258,34.8,-109.88,5446,510.87,24.44,1.61,41.15,7.62,1,12.6992,265.18,5.5,2,5.5,13.747,12.6992,737.5122,322.8389,118.1579,3042.8002,9.5139,319.828,51.8753,414.6734,-64.044,2.7812,0,33.53,22.83,1.8621,18.5176,67.1227,8.4059,10.9035,66.1927,49.3406,143.03,2.2845,1.7785,6.2418,34.4601,14,7,4,6,1,1,21.4019,0.5714,0.8571,0.1429,85.7143,2,3,D,0.0418,16.4648,16.4648,0.2617,1.5417,3.4833,2.5049,3.7361,1.1382,2.8678,2.509,1.1038,1.3585,1.6785,1.7127,1.3881,1.852,3.4866,2.4235,0.27,-3,1.0607,1.5254,1.9331,-0.0619,0.3607,2.0725,1.6144,0.882,2.7083,-0.2355,-2,-0.566,0.796,0.0043,1.3307,0.6031,0.9784,1.2676,2.6177,1.6932,0.2525,1.5374,0.0043,0.4442,1.2168,635.5097,2.8031,0
259,36.1,-112.1,2570,516.88,33,8.33,32.51,5.33,1,20.5142,248.15,5.5,2,4.5,15.6321,20.5142,1155.5667,284.9883,102.2097,1648.24,6.3388,260.0237,47.14,870.5784,-78.5257,4.6567,0,27.18,24.67,1.5721,16.395,68.3718,9.0409,7.9398,44.0714,38.3954,143.03,4.0548,1.3274,11.3058,80.3113,11,12,6,7,5,5,14.3886,0.5,0.5833,0.4167,58.3333,2,4,D,0.0406,16.2581,16.2581,0.52,1.5576,3.217,2.415,3.4099,1.194,3.0628,2.4548,1.3121,1.3922,1.7444,1.7659,1.5185,1.8596,3.4835,2.3947,0.1965,-3,1.0212,1.4342,1.766,-0.2267,0.609,2.0095,1.512,0.7267,2.7134,-0.2924,-2,-0.2757,1.0537,0.6998,1.1583,0.7789,0.802,1.2147,2.9398,1.5843,0.1262,1.9048,0.6998,0.6681,1.2113,540.5266,2.7328,0
260,33.43,-112,1107,275.49,33.78,12.33,27.18,2.29,-4,22.6717,210.58,0.5,1,4.5,16.4598,22.6717,1249.0155,227.1368,45.8942,1082.2558,6.0659,178.4174,47.8661,1021.8787,-83.1403,5.9313,0,24.89,21.45,1.5489,8.4253,72.7723,8.1173,8.4789,35.8035,48.3173,68.95,5.499,1.2223,27.2151,183.8734,9,12,7,8,4,4,6.7928,0.5833,0.6667,0.3333,66.6667,1,4,D,0.7568,22.491,22.491,0.4367,1.5243,3.0343,2.2514,3.0442,1.2164,3.0966,2.3563,1.3555,1.3314,1.761,1.7947,1.5287,1.8852,3.4823,2.3234,0.19,-3,1.0212,1.396,1.824,-0.1696,0.7411,1.6619,1.4342,0.3598,2.4401,-0.2267,-2,-0.35,1.435,0.6031,0.8327,0.8457,0.7829,0.9256,3.0094,1.6841,0.0907,2.2645,0.6031,0.7732,1.3522,197.5151,2.2956,0
261,32.65,-111.4,1830,256.63,32.83,11.61,48.51,3.3,1,21.9817,255.76,5.5,2,4.5,16.2505,21.9817,1207.7024,254.1112,37.0299,1609.0784,7.4858,214.951,48.9595,953.5912,-78.8226,4.722,0,45.21,21.22,2.276,6.8027,72.7354,7.9971,12.6357,36.3809,59.2854,68.95,4.7527,1.2665,32.6142,139.8856,11,12,6,8,4,4,8.6335,0.5,0.6667,0.3333,66.6667,2,4,D,0.0786,25.0557,25.0557,0.52,1.514,3.2066,2.3323,3.2625,1.2109,3.082,2.405,1.3421,1.3267,1.7557,1.7897,1.5163,1.885,3.4824,2.4078,0.3572,-3,1.0212,1.6552,1.824,-0.1696,0.6778,1.5687,1.6858,0.5185,2.4093,-0.2924,-2,-0.2757,1.5135,0.6031,0.9367,0.7789,0.8742,0.8327,2.9794,1.7729,0.106,2.1458,0.6031,0.6741,1.3991,183.8186,2.2644,0
262,36.87,-112.73,4920,564.31,24.83,1.56,35.81,8.13,1,12.62,286,5.5,2,5.5,13.7941,12.62,740.2528,284.3555,81.3766,3472.1613,13.4026,259.0659,51.3946,455.8973,-61.3646,2.5883,0,27.68,23.27,1.5025,22.7032,66.6762,8.457,8.4606,67.0127,35.4991,143.03,2.6033,1.6237,9.0966,29.5627,16,7,4,6,1,1,25.0401,0.5714,0.8571,0.1429,85.7143,2,3,D,0.0265,12.8802,12.8802,0.2617,1.5668,3.5406,2.4134,3.692,1.1397,2.8694,2.4539,1.1011,1.3668,1.6778,1.7123,1.395,1.8493,3.4867,2.4564,0.1768,-3,1.0607,1.4422,1.9331,-0.0619,0.4172,1.9106,1.554,0.9101,2.7515,-0.2355,-2,-0.566,0.9594,0.0043,1.3988,0.6031,1.1272,1.3561,2.6589,1.5502,0.2132,1.4709,0.0043,0.413,1.1103,446.2323,2.6496,0
263,34.1,-110.93,5050,395.41,22.5,3.44,83.57,10.67,1,12.0933,572.78,5.5,2,5.5,13.6955,12.0933,694.8789,460.6511,223.036,9934.7063,17.217,577.0291,56.4885,234.2278,-17.5712,1.2132,0,72.9,19.06,1.7508,12.7677,71.763,7.0772,21.6599,58.5214,45.3786,143.03,1.5085,2.9667,3.1155,14.672,20,7,1,4,3,3,47.3609,0.1429,0.5714,0.4286,57.1429,4,3,D,0.0254,2.6136,2.6136,0.5117,1.5329,3.9972,2.7612,3.7033,1.1366,2.8419,2.6634,1.0825,1.2801,1.673,1.7279,1.3522,1.8795,3.4855,2.758,0.2432,-3,1.0607,1.8627,1.757,-0.2355,0.1814,2.3484,1.9221,1.0282,2.5971,-0.8157,-2,-0.2826,0.4949,0.4786,1.6755,0.0043,1.236,1.1061,2.3697,1.6569,0.4737,1.1668,0.4786,0.0839,0.4189,803.531,2.905,0
264,31.88,-109.2,5390,382.72,21.33,3.44,111.3,13.46,0.1,12.05,547.69,4.6,2,4.6,13.501,12.05,688.7318,487.7519,114.5512,8794.799,13.8617,634.4688,57.8904,200.9799,-20.4785,1.2575,0,97.84,17.89,2.4386,12.0934,73.0288,6.6654,30.2932,55.3142,66.373,68.95,1.4121,3.4269,6.0124,34.1188,17,7,2,6,1,1,20.1863,0.2857,0.8571,0.1429,85.7143,4,3,D,0.0004,7.2356,7.2356,0.4283,1.5037,3.9442,2.8024,3.7316,1.1304,2.8381,2.6882,1.081,1.2526,1.6726,1.7279,1.329,1.8867,3.4851,2.7385,0.3871,-3,1.0253,1.9905,1.9331,-0.0619,0.1529,2.059,2.0465,1.129,2.5829,-0.5291,-2,-0.3582,0.7798,0.0043,1.3053,0.3032,1.1418,1.0825,2.3032,1.822,0.5362,1.5331,0.0043,0.0995,0.8601,529.3441,2.7237,0
265,34.57,-112.43,5205,355.03,23,2.83,83.31,10.16,1,12.055,487.42,5.5,2,5.5,13.6919,12.055,699.6026,388.8629,135.0113,7977.959,18.316,435.5743,55.0544,310.7396,-30.329,1.4353,0,73.15,20.17,2.051,12.1954,70.3382,7.4844,21.9572,62.0853,54.0573,68.95,1.7991,2.2514,5.1818,31.6456,20,7,2,6,1,1,22.1074,0.2857,0.8571,0.1429,85.7143,3,3,D,0.0353,6.6347,6.6347,0.4283,1.5388,3.9019,2.6391,3.7164,1.1365,2.8449,2.5898,1.0812,1.3047,1.6726,1.7229,1.3617,1.8712,3.486,2.6879,0.312,-3,1.0607,1.8642,1.9331,-0.0619,0.2575,2.1304,1.9207,1.0069,2.5503,-0.5291,-2,-0.3582,0.7153,0.0043,1.3447,0.3032,1.2628,1.0862,2.4924,1.7329,0.3544,1.5005,0.0043,0.1569,0.8225,337.8787,2.5288,0
266,34.65,-112.42,5020,363.28,24.17,3.61,61.98,11.43,1,13.1258,356.36,5.5,2,5.5,13.9692,13.1258,741.2294,325.7699,92.9666,4482.8871,13.8078,324.6625,54.669,415.4594,-51.9231,2.08,0,50.55,20.56,2.0871,18.4414,70.2761,7.6757,15.7524,58.4776,53.0443,68.95,2.2753,1.7841,7.9731,52.0801,16,7,3,6,1,0,14.2325,0.4286,0.8571,0,85.7143,2,3,D,0.044,12.3283,12.3283,0.345,1.5398,3.6516,2.5114,3.7007,1.1452,2.87,2.5129,1.1181,1.313,1.6824,1.7292,1.3833,1.8708,3.4855,2.5519,0.3195,-3,1.0607,1.7037,1.9331,-0.0619,0.3589,1.9684,1.7923,1.058,2.5603,-0.358,-2,-0.4498,0.9022,0.0043,1.1536,0.4786,1.1401,1.2658,2.6185,1.7246,0.2539,1.7168,-2,0.3181,1.0913,106.556,2.0276,0
267,33.88,-111.32,2360,353.84,29.94,7.39,62.23,3.3,6,18.0567,463.04,10.5,4,10.5,15.2216,18.0567,989.4446,326.5526,176.3881,4672.5959,14.3349,325.9584,50.6835,662.892,-53.202,2.1368,0,58.93,22.55,1.6127,5.3029,69.9093,8.3823,18.9682,46.4222,49.1575,68.95,3.03,1.4926,5.6095,42.084,16,10,5,6,4,3,23.5112,0.5,0.6,0.3,60,2,4,D,1.0728,11.5766,11.5766,0.4333,1.5301,3.6696,2.5132,3.3729,1.1825,2.9954,2.514,1.2566,1.3531,1.7247,1.7588,1.4763,1.8687,3.4838,2.6656,0.2076,-3,1.2175,1.7703,1.7782,-0.2147,0.4829,2.2465,1.794,0.5185,2.5488,-0.2924,-2,-0.3533,0.7497,0.6031,1.3715,0.6998,1.1564,0.7245,2.8214,1.6916,0.1768,1.6242,0.4786,0.3298,1.064,153.476,2.186,0
268,33.67,-114.23,875,249.12,34.89,11,15.49,0.76,1,22.7225,89.14,5.5,2,4.5,16.244,22.7225,1256.6559,129.6123,25.5264,176.4126,2.5092,70.3061,45.8705,1127.0436,-92.9066,14.0976,0,14.73,23.89,2.0853,4.9064,70.0964,8.7199,4.7561,38.3757,64.0261,68.95,9.6955,1.115,49.2297,421.9798,3,12,8,10,2,2,2.978,0.6667,0.8333,0.1667,83.3333,1,4,D,0.1189,51.8033,17.2937,0.3533,1.5274,2.2465,1.847,2.942,1.2107,3.0992,2.1126,1.3565,1.3782,1.7613,1.7853,1.5427,1.8698,3.4826,1.9501,0.3192,-3,1.0212,1.1682,1.9209,-0.074,0.987,1.4072,1.1901,-0.1192,2.3964,-0.1696,-2,-0.4397,1.6923,0.3032,0.4754,0.9036,0.3995,0.6908,3.0519,1.8064,0.0512,2.6253,0.3032,1.1491,1.2381,45.7936,1.6608,0
269,33.67,-111.15,2205,347.09,31.17,9.11,59.69,3.56,-4,19.8517,429.01,0.5,1,4.5,15.6341,19.8517,1092.8854,331.2054,121.6744,4078.084,12.2207,333.7042,50.099,761.68,-60.7452,2.5475,0,56.13,22.06,1.6696,5.9641,71.0385,8.2729,17.6449,41.6738,49.3552,68.95,3.2997,1.4348,8.982,49.1998,16,12,5,6,6,5,22.2132,0.4167,0.5,0.4167,50,2,4,D,0.5604,10.946,10.946,0.6033,1.5274,3.6105,2.5234,3.3434,1.1941,3.0386,2.5201,1.2978,1.3436,1.7392,1.7717,1.4937,1.8753,3.4831,2.6325,0.2226,-3,1.0212,1.7492,1.6991,-0.2924,0.5198,2.0852,1.7759,0.5514,2.5405,-0.3699,-2,-0.2123,0.9539,0.7789,1.3468,0.6998,1.0871,0.7755,2.8818,1.6933,0.1598,1.6921,0.6998,0.4061,1.0397,334.7153,2.5247,0
270,32.32,-110.82,2640,271.4,30.11,11.61,63.25,5.59,1,20.5517,345.72,5.5,2,4.5,16.0709,20.5517,1107.9336,345.72,27.9675,2165.6193,6.0437,358.3296,53.1075,762.2136,-68.796,3.2047,0,57.66,18.5,2.1954,8.8379,75.3695,7.1084,18.0916,34.588,62.7963,68.95,3.2047,1.4536,39.615,150.0696,9,12,6,9,3,4,7.3828,0.5,0.75,0.3333,75,2,4,D,0.0633,20.3303,20.3303,0.52,1.5096,3.3356,2.5543,3.4216,1.206,3.0445,2.5387,1.3128,1.2672,1.7447,1.7897,1.4787,1.8997,3.4821,2.5387,0.3415,-3,1.0212,1.7609,1.8751,-0.1192,0.5071,1.4468,1.8011,0.7474,2.4336,-0.2924,-2,-0.2757,1.598,0.4786,0.8688,0.7789,0.7813,0.9464,2.8821,1.7979,0.1654,2.1763,0.6031,0.5058,1.3084,343.1582,2.5355,0
271,33.08,-111.73,1285,265.8,32.67,10.28,33.27,0.76,1,21.0983,220.47,5.5,2,4.5,15.9678,21.0983,1155.7939,221.895,24.5597,1183.8438,6.8975,171.6346,48.5993,933.8989,-80.9248,5.2424,0,32.51,22.39,1.8109,2.2843,71.1729,8.2613,9.5233,39.156,51.8342,68.95,5.2087,1.2376,47.0606,161.2346,9,12,6,9,3,4,7.1684,0.5,0.75,0.3333,75,1,4,D,0.059,20.7304,20.7304,0.52,1.5197,3.0733,2.2346,3.1089,1.2032,3.0629,2.3461,1.3242,1.3501,1.7489,1.7802,1.5141,1.8761,3.4828,2.3433,0.2579,-3,1.0212,1.512,1.8751,-0.1192,0.7176,1.3904,1.5221,-0.1192,2.4246,-0.2924,-2,-0.2757,1.6727,0.4786,0.856,0.7789,0.8387,0.3588,2.9703,1.7146,0.0961,2.2075,0.6031,0.7195,1.3168,140.5226,2.1477,0
272,32.82,-109.68,2954,388.56,28.44,6.89,43.69,5.59,1,17.4308,248.66,5.5,2,5.5,14.9922,17.4308,947.7516,248.66,27.157,1943.5426,9.3732,207.3509,52.3933,699.0916,-73.7632,3.8114,0,38.1,21.55,2.1084,12.7947,70.6563,8.0373,11.9278,46.1097,57.5621,68.95,3.8114,1.3557,34.899,136.4555,12,10,5,9,1,2,6.9455,0.5,0.9,0.2,90,2,4,D,0.0616,20.0352,20.0352,0.4333,1.5163,3.2886,2.3167,3.4704,1.1759,2.9767,2.3956,1.2413,1.3334,1.7196,1.755,1.4539,1.8731,3.4837,2.3956,0.324,-3,1.0607,1.5809,1.9543,-0.041,0.5822,1.434,1.6404,0.7474,2.5895,-0.2924,-2,-0.3533,1.5429,0.0043,0.8423,0.6998,0.9719,1.107,2.8445,1.7601,0.1354,2.135,0.3032,0.5811,1.302,187.1739,2.2722,0
273,34.52,-109.4,5790,516.94,23.22,1.11,59.18,11.43,1,11.9533,291.33,5.5,2,5.5,13.5124,11.9533,705.8046,350.7182,112.9354,3581.8198,9.7605,366.9702,52.5254,355.0864,-58.7237,2.4227,0,47.75,22.11,2.4376,19.314,67.5901,8.1386,15.0132,68.0861,61.8398,143.03,2.0125,1.9877,6.2496,34.5786,14,7,2,6,1,1,20.4116,0.2857,0.8571,0.1429,85.7143,3,3,D,0.0552,9.9338,9.9338,0.4283,1.5382,3.5541,2.5646,3.7627,1.1307,2.8487,2.545,1.0775,1.3446,1.6717,1.7085,1.3659,1.8549,3.4869,2.4644,0.387,-3,1.0607,1.679,1.9331,-0.0619,0.3059,2.0529,1.7722,1.058,2.7134,-0.5291,-2,-0.3582,0.7965,0.0043,1.3101,0.3032,0.9895,1.2859,2.5503,1.7913,0.3005,1.5389,0.0043,0.3843,0.9976,776.0259,2.8899,0
274,33.18,-110.53,2532,350.88,30.33,8,56.64,5.33,1,18.9108,403.08,5.5,2,5.5,15.3623,18.9108,1040.3753,333.9846,107.3116,3958.5847,11.6991,338.3654,50.5745,706.3907,-61.2563,2.5811,0,51.31,22.33,1.6862,9.4103,70.3571,8.391,16.1801,44.3714,48.1695,68.95,3.115,1.4728,9.6949,49.0271,16,11,5,6,5,4,21.2204,0.4545,0.5455,0.3636,54.5455,2,4,D,0.0356,12.0129,12.0129,0.5183,1.521,3.5975,2.5294,3.4035,1.1865,3.0172,2.5237,1.2767,1.3489,1.7317,1.7634,1.4819,1.8713,3.4835,2.6054,0.2269,-3,1.0607,1.7102,1.7368,-0.2554,0.4949,2.0307,1.7531,0.7267,2.5452,-0.333,-2,-0.2771,0.987,0.6998,1.327,0.6998,1.0682,0.9736,2.8491,1.6828,0.1711,1.6905,0.6031,0.4118,1.08,249.5718,2.3972,0
275,35.22,-109.32,5853,574.64,23,0.11,49.02,7.62,1,11.1467,308.08,5.5,2,5.5,13.3668,11.1467,678.0716,261.8803,102.6434,3961.3388,17.5304,225.97,51.4364,416.1913,-54.5653,2.201,44.1843,41.4,22.89,1.9094,15.5447,66.3382,8.3786,10.5274,75.1672,41.0051,68.95,2.5892,1.6292,6.6061,33.2577,16,7,4,6,1,1,20.3884,0.5714,0.8571,0.1429,85.7143,2,3,D,0.0381,14.8086,14.8086,0.2617,1.5469,3.5978,2.3541,3.7674,1.126,2.8313,2.4181,1.0471,1.3596,1.6641,1.6999,1.3617,1.8472,3.4879,2.4887,0.2809,-3,1.0607,1.617,1.9331,-0.0619,0.4148,2.0114,1.6904,0.882,2.7594,-0.2355,1.6454,-0.566,0.8206,0.0043,1.3096,0.6031,1.2438,1.1916,2.6193,1.6128,0.2146,1.522,0.0043,0.3426,1.1708,202.7492,2.307,0
276,32.27,-109.23,3610,395.13,26.94,5.94,49.78,2.54,1,16.16,270.75,5.5,2,5.5,14.6731,16.16,873.2701,268.5332,41.7467,2149.0871,9.1226,235.579,53.6284,604.7369,-68.9959,3.2254,0,47.24,21,2.2063,5.1025,70.809,7.8858,15.5315,48.7983,68.8377,68.95,3.252,1.444,20.9183,98.8376,11,10,6,8,2,2,8.8354,0.6,0.8,0.2,80,2,4,D,0.06,23.095,23.095,0.35,1.5089,3.3323,2.3721,3.5575,1.1665,2.9411,2.429,1.2084,1.3222,1.7089,1.7477,1.4304,1.874,3.4841,2.4326,0.3437,-3,1.0607,1.6743,1.9031,-0.0915,0.5135,1.6207,1.6971,0.4048,2.5968,-0.2147,-2,-0.4437,1.3207,0.3032,0.9467,0.7789,0.9601,0.7078,2.7816,1.8378,0.1626,1.995,0.3032,0.5086,1.3637,226.9282,2.3559,0
277,31.77,-110.85,4300,233.63,26.33,9.44,122.7,7.62,0.1,17.865,594.61,4.6,2,4.5,15.2487,17.865,929.7974,550.5542,105.3267,7583.2201,9.7752,775.7613,57.9124,379.2432,-36.0495,1.5637,0,115.08,16.89,2.4762,6.2103,76.3213,6.5315,34.9145,36.5602,70.462,68.95,1.6888,2.4517,8.8277,47.2989,17,12,2,6,6,5,19.6579,0.1667,0.5,0.4167,50,3,4,D,0.0005,5.2472,5.2472,0.8533,1.5022,3.8799,2.8897,3.6335,1.1832,2.9684,2.7408,1.252,1.2276,1.7232,1.7741,1.4205,1.9048,3.4824,2.7742,0.3938,-3,1.0212,2.061,1.6991,-0.2924,0.2302,2.0226,2.0888,0.882,2.3685,-0.7528,-2,-0.0638,0.9463,0.7789,1.2938,0.3032,0.9901,0.7931,2.5789,1.848,0.3912,1.6749,0.6998,0.1942,0.7208,681.7093,2.8336,0
278,31.48,-111.55,3590,166.02,26.83,9.5,90.42,4.57,0.1,17.6792,457.69,4.6,2,4.5,15.3154,17.6792,918.8557,436.781,77.9956,4792.1699,9.0718,528.2479,57.1156,482.0747,-50.1891,2.0076,0,85.85,17.33,2.3707,5.0542,75.8736,6.6241,27.8204,37.4683,72.9411,68.95,2.1037,1.906,11.7809,70.1818,14,12,2,8,4,4,13.0925,0.1667,0.6667,0.3333,66.6667,3,4,D,0.0005,5.7761,5.7761,0.8533,1.4982,3.6805,2.7228,3.5551,1.1851,2.9632,2.6403,1.2475,1.2388,1.7216,1.7745,1.4286,1.9024,3.4825,2.6606,0.3749,-3,1.0212,1.9337,1.824,-0.1696,0.325,1.8921,1.9563,0.6599,2.2202,-0.7528,-2,-0.0638,1.0715,0.6031,1.1174,0.3032,0.9577,0.7037,2.6831,1.863,0.2824,1.8463,0.6031,0.3027,0.7624,527.4073,2.7221,0
279,34.87,-111.77,4220,419.3,26.83,6.39,62.74,9.14,-4,15.9858,482.84,0.5,1,0.5,14.7342,15.9858,864.2,419.6922,184.772,6240.659,12.6231,494.385,54.23,444.5078,-44.1287,1.7898,0,53.6,20.44,1.5593,14.5681,71.5439,7.6642,15.5283,47.9435,38.5923,143.03,2.0591,1.9442,4.6771,22.0868,18,10,3,6,4,4,39.1275,0.3,0.6,0.4,60,3,4,D,0.4066,6.1622,6.1622,0.6,1.5426,3.7952,2.6941,3.6253,1.1683,2.9366,2.6229,1.2037,1.3105,1.7074,1.7512,1.4286,1.8782,3.484,2.6838,0.1929,-3,0.8129,1.7292,1.7782,-0.2147,0.3158,2.2667,1.7975,0.9609,2.6225,-0.5086,-2,-0.2147,0.6709,0.6031,1.5926,0.4786,1.1012,1.1634,2.6479,1.5865,0.291,1.3443,0.6031,0.2528,0.7904,1038.7057,3.0165,0
