@relation AmericanCranberrybush

@ATTRIBUTE Serial numeric 
@ATTRIBUTE LAT numeric
@ATTRIBUTE LONG numeric
@ATTRIBUTE ELEV numeric 
@ATTRIBUTE COKLM numeric
@ATTRIBUTE VEGNU {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28} 
@ATTRIBUTE MWM numeric 
@ATTRIBUTE MCM numeric 
@ATTRIBUTE RHIGH numeric 
@ATTRIBUTE RLOW numeric 
@ATTRIBUTE RRCORR numeric 
@ATTRIBUTE CMAT numeric 
@ATTRIBUTE ET numeric 
@ATTRIBUTE PET numeric 
@ATTRIBUTE CRR numeric 
@ATTRIBUTE WSTORAGE numeric 
@ATTRIBUTE SNOWAC numeric 
@ATTRIBUTE WRET numeric 
@ATTRIBUTE PERWRET numeric 
@ATTRIBUTE AE numeric 
@ATTRIBUTE RUNOFF numeric 
@ATTRIBUTE WATD numeric 
@ATTRIBUTE MI numeric 
@ATTRIBUTE BT numeric 
@ATTRIBUTE GROWC numeric 
@ATTRIBUTE WLTGRC numeric 
@ATTRIBUTE WATDGRC numeric 
@ATTRIBUTE WATRGRC numeric 
@ATTRIBUTE RUNGRC numeric 
@ATTRIBUTE PGROW numeric 
@ATTRIBUTE SDTEMP numeric 
@ATTRIBUTE CVTEMP numeric 
@ATTRIBUTE SDRAIN numeric 
@ATTRIBUTE CVRAIN numeric 
@ATTRIBUTE RRCORR2 numeric 
@ATTRIBUTE RRCORR3 numeric 
@ATTRIBUTE SEASON {1,2,3,4} 
@ATTRIBUTE PERWRET numeric 
@ATTRIBUTE PERWDEF numeric 
@ATTRIBUTE PERWLTG numeric 
@ATTRIBUTE DEFPER numeric 
@ATTRIBUTE NAGP numeric 
@ATTRIBUTE BIO5 numeric 
@ATTRIBUTE BAR5 numeric 
@ATTRIBUTE HIRX numeric 
@ATTRIBUTE RRANGE numeric 
@ATTRIBUTE TRANGE numeric 
@ATTRIBUTE REVEN numeric 
@ATTRIBUTE MRAIN numeric 
@ATTRIBUTE MTEMP numeric 
@ATTRIBUTE TEMP numeric 
@ATTRIBUTE PTOAE numeric 
@ATTRIBUTE PTOWATD numeric 
@ATTRIBUTE PTORUN numeric 
@ATTRIBUTE PTOWATR numeric 
@ATTRIBUTE MEDSTAB numeric 
@ATTRIBUTE SUCSTAB numeric 
@ATTRIBUTE SUCSTAB2 numeric 
@ATTRIBUTE WACCESS numeric 
@ATTRIBUTE CLIM numeric 
@ATTRIBUTE AVWAT numeric 
@ATTRIBUTE CLASS {W,D} 
@ATTRIBUTE LBIO numeric
@ATTRIBUTE LBIO5 numeric 
@ATTRIBUTE LBAR5 numeric 
@ATTRIBUTE LNAGP numeric 
@ATTRIBUTE LET numeric 
@ATTRIBUTE LPET numeric 
@ATTRIBUTE LAE numeric 
@ATTRIBUTE LBT numeric 
@ATTRIBUTE LTRANGE numeric 
@ATTRIBUTE LCMAT numeric 
@ATTRIBUTE LMCM numeric 
@ATTRIBUTE LMWM numeric 
@ATTRIBUTE LMTEMP numeric 
@ATTRIBUTE LCVTEMP numeric 
@ATTRIBUTE LCRR numeric 
@ATTRIBUTE LREVEN numeric 
@ATTRIBUTE LRHIGH numeric 
@ATTRIBUTE LRLOW numeric 
@ATTRIBUTE LRRCORR3 numeric 
@ATTRIBUTE LRRANGE numeric 
@ATTRIBUTE LMRAIN numeric 
@ATTRIBUTE LRUNOFF numeric 
@ATTRIBUTE LSNOWAC numeric 
@ATTRIBUTE LWATD numeric 
@ATTRIBUTE LCVRAIN numeric 
@ATTRIBUTE LDEFPER numeric
@ATTRIBUTE LSUCSTAB numeric 
@ATTRIBUTE LPTOAE numeric 
@ATTRIBUTE LPTOWATD numeric 
@ATTRIBUTE LPTORUN numeric 
@ATTRIBUTE LPTOWATR numeric 
@ATTRIBUTE LWACCESS numeric 
@ATTRIBUTE LWRET numeric
@ATTRIBUTE LWLTGRC numeric 
@ATTRIBUTE LRUNGRC numeric 
@ATTRIBUTE LWATRGRC numeric 
@ATTRIBUTE LPERWDEF numeric 
@ATTRIBUTE LPERWLTG numeric 
@ATTRIBUTE LHIRX numeric 
@ATTRIBUTE LSSTAB2 numeric 
@ATTRIBUTE LCOKLM numeric 
@ATTRIBUTE LLAT numeric 
@ATTRIBUTE EXPREY numeric 
@ATTRIBUTE LEXPREY numeric 
@ATTRIBUTE AmericanCranberrybush {0,1}

@data
403,33.12,-117.1,600,19.20000076,18,24.6,13,85.59999847,0.50999999,5,18.2917,15.9592,898.2775,383.55,143.0299988,0,32.9003,23.0024,314.9779,184.8115,583.2996,-57.3016,18.2917,12,5,7,5,5,14,4.3324,23.6853,33.8665,105.957,9.5,4.5,4,0.4167,0.5833,0.4167,58.3333,307.0047,3708.5879,12.0799,2.342,85.09,11.6,2.6781,0.5958,83.3333,64.2484,2.8519,1.54,4.8605,27.303,1.8547,19.3496,19.3496,0.6033,4,2,D,3.0934,3.5692,1.0821,2.4871,1.203,2.9534,2.4983,1.2623,1.0645,1.7267,1.7993,1.3909,1.9412,3.4805,2.5838,0.4278,1.9325,-0.2924,1.0212,1.9299,-0.2249,2.2668,-2,2.7659,2.0251,1.766,1.2867,0.4567,0.1903,0.6876,1.4364,-0.2123,1.5173,0.6998,0.6998,0.6998,-0.2267,-0.3699,0.3696,1.2869,1.2835,1.5202,273.5765,2.4371,0
404,40.82,-124.17,20,1.600000024,11,14.8,8.8,161.2899933,4.059999943,4,11.5833,12.7429,655.5516,967.72,143.0299988,0,74.4991,52.0863,454.5552,577.9825,200.9964,47.6192,11.5833,12,3,4,8,8,20,2.2651,19.5547,62.9493,78.0588,8.5,4.5,3,0.6667,0.3333,0.25,33.3333,564.4089,17671.627,31.31,0.6774,157.23,6,2,2.5172,89.9666,78.3825,1.4422,3.2615,1.1342,8.7995,0.3352,3.48,3.48,0.77,3,5,W,4.0188,4.2473,1.4957,2.7516,1.1053,2.8166,2.6576,1.0638,0.7782,1.6682,1.7694,1.1703,1.973,3.4799,2.9857,0.301,2.2076,0.6085,1.0212,2.1965,0.4009,2.7619,-2,2.3032,1.8924,1.523,0.5416,0.162,0.5147,0.0585,0.9449,-0.1079,1.8722,0.4786,0.9036,0.9036,-0.4643,-0.585,-0.1691,0.5428,0.2068,1.611,256.4969,2.4091,0
405,38.27,-122.07,40,14.39999962,11,22.6,7.8,128.0200043,0.75999999,5.5,15.7667,14.4211,816.0042,595.9,117.3525009,0,40.3413,34.3762,286.6188,350.0637,529.3854,-26.9734,15.7667,10,4,6,4,4,17,5.5053,34.9171,48.0525,96.7662,10,10,4,0.4,0.6,0.4,60,262.4978,7002.3965,26.676,1.3694,127.26,14.8,2.578,0.5937,78.1065,62.4954,2.847,1.5414,2.331,20.2275,1.4132,11.7136,11.7136,0.5167,3,2,D,3.0751,3.8452,1.4261,2.4191,1.159,2.9117,2.4573,1.1977,1.1703,1.7056,1.7619,1.3541,1.9144,3.4821,2.7752,0.4113,2.1073,-0.1192,1.2041,2.1047,-0.2265,2.5442,-2,2.7238,1.9857,1.7782,1.0687,0.4559,0.1907,0.3694,1.3062,-0.2785,1.6059,0.6031,0.6031,0.6031,-0.2147,-0.3872,0.1365,1.0691,1.1587,1.583,135.738,2.1327,0
406,34.7,-118.43,3060,74.40000153,23,25.7,7.4,101.3499985,1.779999971,6.5,15.8917,14.7757,838.7783,414.28,143.0299988,0,42.6621,29.8274,261.5242,213.1795,577.254,-50.6091,15.8917,10,5,5,4,5,14,6.9361,43.6463,36.1649,104.755,11,11,4,0.4,0.5,0.5,50,225.4601,4021.6306,17.8374,2.0247,99.57,18.3,2.9357,1.7563,74.116,56.9486,3.2073,1.453,3.9346,19.661,2.8261,20.9926,20.9926,0.4333,4,2,D,2.9089,3.6044,1.2513,2.3531,1.1695,2.9236,2.4175,1.2012,1.2625,1.7066,1.7589,1.4099,1.8927,3.4834,2.6173,0.4677,2.0058,0.2504,1.2304,1.9981,0.2446,2.3288,-2,2.7614,2.0202,1.6991,1.3221,0.5075,0.1653,0.596,1.2938,-0.3533,1.6301,0.6998,0.6998,0.6031,-0.2924,-0.2924,0.3064,1.3223,1.8716,1.5405,145.4955,2.1629,0
407,36.37,-120.15,285,119.3000031,23,26.3,7.9,39.88000107,0.25,6,17.3083,14.9394,913.0176,187.94,117.3525009,0,14.2754,12.1646,206.5537,82.0904,706.4638,-79.4155,17.3083,11,6,7,4,4,11,6.6812,38.6013,14.2917,91.2527,10.5,10.5,4,0.3636,0.6364,0.5455,63.6364,152.3895,1349.8776,8.8581,4.858,39.63,18.4,2.5463,0.6269,74.1936,56.5148,4.4202,1.2924,11.1221,63.9573,3.172,30.1489,30.1489,0.435,4,2,D,2.4653,3.1303,0.9473,2.183,1.1743,2.9605,2.315,1.2383,1.2648,1.7186,1.7627,1.42,1.8932,3.4827,2.274,0.4059,1.6008,-0.6021,1.2175,1.598,-0.2028,1.9143,-2,2.8491,1.9602,1.8038,1.4793,0.6464,0.1147,1.0466,1.806,-0.3516,1.1549,0.7789,0.6031,0.6031,-0.1895,-0.2554,0.6865,1.4794,2.0767,1.5609,121.3268,2.084,0
408,38.7,-121.17,350,104,11,25.4,8.3,113.2799988,2.539999962,6,16.7917,14.9084,879.4572,625.1,143.0299988,0,58.0843,40.6099,327.9284,382.7549,551.5288,-28.9221,16.7917,12,4,5,6,7,17,6.3014,37.5272,45.9501,88.2101,10.5,4.5,4,0.5,0.4167,0.3333,41.6667,328.2412,7169.5176,21.8422,1.4069,110.74,17.1,2.1746,2.2422,75.7102,58.3736,2.6819,1.5946,2.2977,15.141,1.4396,8.5919,8.5919,0.6867,4,2,D,3.1772,3.8555,1.3393,2.5162,1.1734,2.9442,2.5158,1.2251,1.233,1.7143,1.7657,1.4048,1.9015,3.4825,2.7959,0.3374,2.0542,0.4048,1.0212,2.0443,0.3507,2.5829,-2,2.7416,1.9455,1.6199,0.9341,0.4301,0.2054,0.3632,1.1804,-0.157,1.7641,0.6031,0.8457,0.7789,-0.3699,-0.4643,0.1483,0.9346,2.0171,1.5878,170.2383,2.2311,0
409,34.08,-117.52,1102,52.79999924,23,26.1,13.6,88.90000153,0,5,19.1167,16.2829,955.0706,375.15,143.0299988,0,31.6698,22.1421,296.0737,179.0607,658.9969,-60.7202,19.1167,12,5,7,5,5,13,4.7382,24.7857,36.5514,116.9177,9.5,4.5,4,0.4167,0.5833,0.4167,58.3333,277.028,3234.5757,11.676,2.5458,88.9,12.5,2.8437,0,82.4191,61.4577,3.2258,1.4493,5.3338,30.1571,2.071,21.6256,21.6256,0.6033,4,2,D,2.9303,3.5098,1.0673,2.4425,1.2117,2.98,2.4714,1.2814,1.0969,1.7333,1.8035,1.4166,1.9366,3.4807,2.5742,0.4539,1.9489,-2,1.0212,1.9489,-2,2.253,-2,2.8189,2.0679,1.766,1.335,0.51,0.1641,0.7278,1.4795,-0.2123,1.5008,0.6998,0.6998,0.6998,-0.2267,-0.3699,0.4058,1.3352,1.7227,1.5326,249.0734,2.3963,0
410,41.87,-120.15,4500,326.3999939,11,19.5,-1.4,65.79000092,10.15999985,5.5,8.5917,12.6298,600.36,463.55,195.9199982,131.5800018,81.8816,41.7934,307.1781,338.1574,293.182,-22.788,8.8167,6,3,4,1,2,18,7.5842,88.2745,21.1379,54.7199,10,10,4,0.1667,0.6667,0.5,66.6667,294.4881,7460.1851,25.3327,1.2951,55.63,20.9,1.7031,15.4431,67.5969,52.2729,1.9544,2.0477,1.7754,7.332,0.691,8.4119,8.4119,0.26,3,3,D,3.5601,3.8727,1.4037,2.4691,1.1014,2.7784,2.4874,0.9453,1.3201,1.6394,1.6866,1.29,1.8549,3.4897,2.6661,0.2312,1.8182,1.0069,1.2041,1.7453,1.1887,2.5291,2.1192,2.4672,1.7381,1.824,0.9249,0.2932,0.3134,0.2517,0.8658,-0.5686,1.9132,0.4786,0.3032,0.0043,-0.1696,-0.2924,0.1123,0.9254,2.5138,1.622,137.6251,2.1387,0
411,39.52,-123.77,120,1.600000024,11,14.7,8.7,185.9299927,3.559999943,5,11.825,12.6857,659.9939,1041.42,143.0299988,0,74.3393,51.9746,451.0134,523.7998,208.9805,57.7924,11.825,12,3,4,8,8,20,2.2186,18.7617,72.3297,83.3435,9.5,4.5,4,0.6667,0.3333,0.25,33.3333,557.1273,18848.5605,33.8317,0.6337,182.37,6,2.1424,1.9147,89.9497,78.2343,1.4634,3.1582,1.26,8.8781,0.55,3.5612,3.5612,0.77,3,5,W,3.9989,4.2753,1.5293,2.746,1.1033,2.8195,2.6542,1.0728,0.7782,1.6705,1.7686,1.1673,1.9729,3.4798,3.0176,0.3309,2.2693,0.5515,1.0212,2.261,0.2821,2.7192,-2,2.3201,1.9209,1.523,0.5516,0.1683,0.5008,0.1038,0.9488,-0.1079,1.8713,0.4786,0.9036,0.9036,-0.4643,-0.585,-0.1981,0.5528,0.2068,1.5969,240.0782,2.3804,0
412,38.52,-123.25,112,0.100000001,11,14.4,9.2,183.1300049,3.559999943,4.5,11.8417,12.6667,656.226,941.83,143.0299988,0,71.4343,49.9436,440.5569,405.639,215.6691,43.5222,11.8417,12,3,5,7,7,18,1.9341,16.3332,68.6842,87.5116,9,4.5,4,0.5833,0.4167,0.25,41.6667,535.85,15859.7949,29.5974,0.6968,179.57,5.2,2.3333,1.944,91.2458,80.2791,1.4895,3.0427,1.6178,9.1864,0.5194,4.0662,4.0662,0.77,3,5,W,3.9723,4.2003,1.4713,2.729,1.1027,2.8171,2.644,1.0734,0.716,1.6706,1.7723,1.1584,1.9788,3.4795,2.974,0.368,2.2628,0.5515,1.0212,2.2542,0.2887,2.6082,-2,2.3338,1.9421,1.6199,0.6092,0.176,0.4847,0.2116,0.9636,-0.1079,1.854,0.4786,0.8457,0.8457,-0.3699,-0.585,-0.1569,0.6103,-0.9586,1.5858,248.898,2.396,0
413,36.78,-119.72,333,174.3999939,23,27.4,7.3,55.88000107,0.25,-4,17.3,14.9537,928.572,285.23,117.3525009,0,28.7317,24.4832,228.9456,158.8677,699.6263,-69.2829,17.3,10,6,6,4,4,13,7.2419,41.8608,21.3473,89.8108,0.5,0.5,1,0.4,0.6,0.6,60,180.7822,2359.8855,13.0537,3.2555,55.63,20.1,2.3509,0.4474,72.2376,54.2637,4.0559,1.3272,5.8449,32.3188,1.0486,24.902,24.902,0.35,4,2,D,2.5933,3.3729,1.1157,2.2572,1.1747,2.9678,2.3597,1.238,1.3032,1.7185,1.7582,1.4378,1.8822,3.4831,2.4552,0.3712,1.7473,-0.6021,0.8129,1.7453,-0.3493,2.2011,-2,2.8449,1.9533,1.7782,1.3962,0.6092,0.1262,0.7675,1.5096,-0.4437,1.4585,0.7789,0.6031,0.6031,-0.2147,-0.2147,0.5126,1.3964,2.2416,1.5657,213.3635,2.3291,0
414,37,-119.72,410,182.3999939,23,26.5,7.8,72.63999939,0.50999999,-4,16.8417,14.9438,891.2249,373.64,117.3525009,0,37.2233,31.7193,251.5567,215.0931,639.6682,-58.0757,16.8417,10,5,6,4,4,16,6.8419,40.6249,28.3001,90.8899,0.5,0.5,1,0.4,0.6,0.5,60,211.376,3819.4868,18.0696,2.3853,72.13,18.7,2.3329,0.7021,73.8462,56.1036,3.5428,1.3933,4.1434,23.9426,0.9068,17.9684,17.9684,0.4333,4,2,D,2.7787,3.582,1.2569,2.3251,1.1745,2.95,2.4006,1.2264,1.2718,1.7147,1.7619,1.4232,1.8912,3.483,2.5725,0.3679,1.8612,-0.2924,0.8129,1.8581,-0.1536,2.3326,-2,2.806,1.9585,1.7782,1.2545,0.5506,0.1471,0.6184,1.3794,-0.3533,1.5709,0.6998,0.6031,0.6031,-0.2147,-0.2924,0.3775,1.2548,2.261,1.5683,215.2139,2.3329,0
415,37,-121.57,194,30.39999962,23,22.2,9.6,109.2200012,1.269999981,5.5,16.25,14.7379,820.173,523.23,143.0299988,0,49.8769,34.8716,315.9412,236.0649,504.2318,-36.2049,16.25,12,5,6,6,6,16,4.7262,29.0845,42.6693,97.8597,10,4.5,4,0.5,0.5,0.4167,50,308.5648,5989.5747,19.4111,1.5675,107.95,12.6,2.5049,1.1628,81.25,65.7093,2.596,1.6266,3.4744,16.4439,1.5273,13.2142,13.2142,0.6033,4,2,D,3.2092,3.7774,1.288,2.4893,1.1684,2.9139,2.4996,1.2109,1.1004,1.7097,1.7752,1.3464,1.9307,3.4813,2.7187,0.3988,2.0383,0.1038,1.0212,2.0332,0.0655,2.373,-2,2.7026,1.9906,1.6991,1.121,0.416,0.2139,0.5421,1.2163,-0.2123,1.698,0.6998,0.7789,0.7789,-0.2924,-0.3699,0.1952,1.1214,1.483,1.5683,198.6642,2.2981,0
416,35.73,-118.7,3140,158.3999939,23,20.7,5.3,98.55000305,1.269999981,6,12.0917,13.6581,686.2355,506.22,143.0299988,0,55.2965,38.6608,292.7635,230.354,393.4719,-26.2323,12.0917,7,4,5,2,2,17,5.7814,47.813,37.1204,87.9944,10.5,10.5,4,0.2857,0.7143,0.5714,71.4286,271.9056,6933.2397,25.4987,1.3556,97.28,15.4,2.3361,1.2887,76.5601,61.6369,2.344,1.7441,2.979,12.4101,1.4665,14.7575,14.7575,0.2617,3,2,D,3.3259,3.8409,1.4065,2.4344,1.1354,2.8365,2.4665,1.0825,1.1875,1.6729,1.7427,1.316,1.9061,3.484,2.7043,0.3685,1.9937,0.1038,1.2175,1.988,0.1101,2.3624,-2,2.5949,1.9445,1.8539,1.169,0.3718,0.244,0.4755,1.0941,-0.566,1.7428,0.6031,0.3032,0.3032,-0.1401,-0.2355,0.1321,1.1693,2.1998,1.5532,126.9917,2.1038,0
417,36.73,-118.97,6600,222.3999939,23,17.3,1.5,209.0399933,2.789999962,6,8.0083,12.4538,552.8151,1068.5699,143.0299988,0,74.9477,52.4,304.6036,674.1544,248.2115,93.2961,8.0083,6,2,3,2,3,21,6.2146,77.6012,76.9781,86.4461,10.5,10.5,4,0.3333,0.5,0.3333,50,290.4023,30611.3613,105.4102,0.5173,206.25,15.8,2.3475,1.3347,74.6388,58.6832,1.8149,2.2272,0.82,7.376,0.844,4.9502,4.9502,0.3433,2,3,D,3.6265,4.4859,2.0229,2.463,1.0953,2.7426,2.4837,0.9035,1.1987,1.6336,1.7118,1.238,1.8956,3.4882,3.0288,0.3706,2.3202,0.4456,1.2175,2.3144,0.1254,2.8288,-2,2.3948,1.9367,1.6991,0.6946,0.2612,0.3497,-0.0809,0.8684,-0.4518,1.8748,0.3032,0.4786,0.3032,-0.2924,-0.4643,-0.2862,0.6955,2.3472,1.5651,98.0502,1.9915,0
418,39.2,-121.07,2400,145.6000061,11,21.6,5.6,250.4400024,4.570000172,6,12.725,13.8667,715.1311,1347.98,143.0299988,0,68.8203,48.116,382.9155,733.6902,332.2156,88.4941,12.725,8,3,4,4,4,22,6.0753,47.7431,96.5332,85.9359,10.5,10.5,4,0.5,0.5,0.375,50,424.5716,36348.6211,85.6125,0.5305,245.87,16,2.2295,1.8248,75.976,60.8451,1.8676,2.1526,0.9747,10.3913,0.8753,5.8381,5.8381,0.43,3,3,D,3.6598,4.5605,1.9325,2.628,1.142,2.8544,2.5831,1.1047,1.2041,1.6787,1.7451,1.3345,1.903,3.484,3.1297,0.3482,2.3987,0.6599,1.2175,2.3907,0.2612,2.8655,-2,2.5214,1.9342,1.6991,0.7663,0.2736,0.335,-0.0067,1.0171,-0.3565,1.8378,0.4786,0.6031,0.6031,-0.2924,-0.4145,-0.2753,0.767,2.1632,1.5934,167.3092,2.2235,0
419,38.43,-122.87,200,19.39999962,11,19.2,7.7,219.7100067,2.029999971,6,13.9333,13.7744,734.082,1037.08,143.0299988,0,71.0087,49.646,377.9042,604.3709,356.1778,41.2758,13.9333,10,4,5,5,5,17,4.2928,30.8094,82.6241,95.6039,10.5,10.5,4,0.5,0.5,0.4,50,415.3877,14350.4082,34.547,0.7078,217.68,11.5,2.5423,0.9239,82.0872,68.2028,1.9425,2.061,1.2146,10.3379,1.146,7.9883,7.9883,0.5167,3,3,D,3.6073,4.1569,1.5384,2.6185,1.1391,2.8657,2.5774,1.1441,1.0607,1.6896,1.7612,1.2833,1.9349,3.4816,3.0158,0.4052,2.3418,0.3075,1.2175,2.3378,-0.0344,2.7813,-2,2.5517,1.9805,1.6991,0.9025,0.2906,0.3162,0.088,1.0149,-0.2785,1.8514,0.6031,0.6998,0.6998,-0.2924,-0.3872,-0.1501,0.903,1.288,1.5848,165.3748,2.2185,0
420,40.48,-123.92,410,27.60000038,11,17.2,5.9,237.2400055,2.789999962,4.5,11.3583,12.9845,664.4056,1374.14,143.0299988,0,72.7843,50.8874,419.8104,763.978,244.5953,106.8224,11.3583,9,3,4,5,5,22,4.2296,37.2383,94.8096,82.7947,9,9,4,0.5556,0.4444,0.3333,44.4444,494.6161,35397.2266,71.5651,0.4835,234.45,11.3,2.0718,1.176,81.8328,67.5143,1.5826,2.7163,0.8697,9.1284,0.3885,4.1878,4.1878,0.515,3,5,W,3.887,4.549,1.8547,2.6943,1.1134,2.8224,2.6231,1.0553,1.0531,1.6661,1.7474,1.2355,1.9337,3.4825,3.138,0.3163,2.3752,0.4456,1.1761,2.3701,0.0704,2.8831,-2,2.3885,1.918,1.6479,0.622,0.2021,0.4356,-0.0557,0.9609,-0.2798,1.8621,0.4786,0.6998,0.6998,-0.3425,-0.4643,-0.3156,0.623,1.4411,1.6073,207.2867,2.3166,0
421,36.13,-117.95,3825,238.3999939,23,25.9,4.7,37.59000015,2.029999971,7,14.75,14.3562,813.3695,187.2,68.94999695,0,14.6031,21.1792,165.5171,85.8619,647.8524,-76.9846,14.75,9,6,7,1,2,11,7.8059,52.9212,12.3023,78.8606,11.5,11.5,4,0.1111,0.7778,0.6667,77.7778,105.5065,1391.6741,13.1904,4.3449,35.56,21.2,2.4096,5.4004,70.0987,53.7402,4.9141,1.2555,9.473,55.6986,3.7589,32.2641,29.6721,0.265,3,2,D,2.2874,3.1435,1.1203,2.0233,1.157,2.9103,2.2188,1.1688,1.3263,1.6968,1.738,1.4133,1.8698,3.4847,2.2723,0.3819,1.5751,0.3075,1.243,1.551,0.7324,1.9339,-2,2.8115,1.8969,1.8909,1.5087,0.6923,0.1023,0.9769,1.7459,-0.5607,1.1647,0.7789,0.3032,0.0043,-0.1036,-0.1696,0.638,1.4725,2.3773,1.558,32.0775,1.5062,0
422,37.47,-122.45,16,1.600000024,23,15.2,10.4,140.9700012,4.059999943,4.5,12.6167,13.25,672.3881,710.18,143.0299988,0,59.1003,41.3202,421.778,366.9627,250.6101,5.6205,12.6167,12,3,5,7,7,17,1.816,14.3937,51.6425,87.2609,9,4.5,4,0.5833,0.4167,0.25,41.6667,498.4703,11084.376,22.2368,0.9468,136.91,4.8,2.382,2.88,92.0266,82.6358,1.5942,2.683,1.8323,11.3771,0.6705,5.2308,5.2308,0.77,3,5,W,3.8785,4.0447,1.3471,2.6976,1.1222,2.8276,2.6251,1.1009,0.6812,1.6778,1.781,1.1818,1.9824,3.4792,2.8514,0.3769,2.1491,0.6085,1.0212,2.1364,0.4594,2.5646,-2,2.399,1.9408,1.6199,0.7186,0.2053,0.4302,0.2654,1.0564,-0.1079,1.7717,0.4786,0.8457,0.8457,-0.3699,-0.585,-0.0237,0.7194,0.2068,1.5738,294.915,2.4697,0
423,36.32,-119.63,245,147.1999969,23,26.4,6.7,44.70000076,0.25,-4,16.7667,14.7365,896.3651,217.91,117.3525009,0,19.1409,16.3106,207.1755,85.9462,689.1896,-75.6896,16.7667,10,6,7,3,3,11,7.1482,42.6335,16.7815,92.4132,0.5,0.5,1,0.3,0.7,0.6,70,153.1517,1586.3999,10.3584,4.1135,44.45,19.7,2.4616,0.5593,72.409,55.1653,4.3266,1.3006,10.4294,46.8299,1.2278,28.9701,28.9701,0.35,4,2,D,2.4919,3.2004,1.0153,2.1851,1.1684,2.9525,2.3163,1.2244,1.2945,1.7141,1.7536,1.4216,1.8831,3.4832,2.3383,0.3912,1.6503,-0.6021,0.8129,1.6479,-0.2524,1.9343,-2,2.8383,1.9657,1.8452,1.4619,0.6371,0.1175,1.0187,1.6706,-0.4437,1.2822,0.7789,0.4786,0.4786,-0.1487,-0.2147,0.6142,1.4621,2.1679,1.5603,202.859,2.3072,0
424,41.8,-123.38,1120,46.40000153,11,22.2,4.6,232.6600037,7.869999886,6,12.8583,13.8125,731.5648,1306.5699,143.0299988,0,72.2284,50.4988,378.3743,756.4606,353.1906,78.5993,12.8583,8,3,4,4,4,22,6.4804,50.3983,91.3524,83.9013,10.5,10.5,4,0.5,0.5,0.375,50,416.2458,36651.1445,88.0517,0.5599,224.79,17.6,2.1368,3.3826,73.8095,58.5275,1.9334,2.0713,0.9671,10.1285,0.8355,5.6392,5.6392,0.43,3,3,D,3.6135,4.5641,1.9447,2.6193,1.1403,2.8643,2.5779,1.1092,1.2455,1.68,1.7372,1.3464,1.891,3.4844,3.1161,0.3298,2.3667,0.896,1.2175,2.3518,0.5293,2.8788,-2,2.548,1.9238,1.6991,0.7512,0.2886,0.3183,-0.0101,1.006,-0.3565,1.8588,0.4786,0.6031,0.6031,-0.2924,-0.4145,-0.2519,0.752,1.6666,1.6213,150.6272,2.1779,0
425,40.93,-121.55,3015,187.1999969,11,20.1,1.2,75.18000031,5.329999924,6,10.1417,13.0037,644.7714,502.41,143.0299988,0,58.1615,40.6639,299.6494,295.1901,345.1221,-22.0794,10.1417,7,3,5,2,2,18,6.8182,67.2298,25.9072,61.879,10.5,10.5,4,0.2857,0.7143,0.4286,71.4286,282.6039,7628.7578,26.9945,1.2834,69.85,18.9,1.7957,7.0897,70.9677,55.7308,2.1518,1.8682,2.1843,11.0859,0.9206,7.7409,7.7409,0.345,3,3,D,3.4388,3.8825,1.4313,2.4512,1.1141,2.8094,2.4766,1.0061,1.2765,1.6546,1.7093,1.3032,1.8749,3.4867,2.7011,0.2542,1.8761,0.7267,1.2175,1.8442,0.8506,2.4701,-2,2.538,1.7915,1.8539,0.8888,0.3348,0.2738,0.3413,1.0452,-0.4498,1.7647,0.4786,0.3032,0.3032,-0.1401,-0.358,0.1083,0.8894,2.2723,1.6121,121.7047,2.0853,0
426,33.7,-115.63,1370,171.1999969,18,31.4,11.2,18.79999924,0.25,6,20.7417,16.0709,1123.8108,114.29,68.94999695,0,3.3557,4.8669,143.9666,37.9615,979.8442,-89.8301,20.7417,12,8,9,3,3,5,7.4865,36.0942,6.4196,67.4034,10.5,4.5,4,0.25,0.75,0.6667,75,83.6978,361.094,4.3143,9.833,18.55,20.2,1.9739,1.3298,73.5602,50.8933,7.8061,1.1469,29.6039,334.8937,3.4247,42.3893,21.8811,0.3533,4,1,D,1.6975,2.5576,0.6349,1.9227,1.206,3.0507,2.1583,1.3168,1.3054,1.7462,1.7868,1.4969,1.8896,3.4823,2.058,0.2953,1.2742,-0.6021,1.0212,1.2683,0.1238,1.5795,-2,2.9912,1.8287,1.8751,1.6273,0.893,0.0633,1.4715,2.5249,-0.4397,0.5271,0.9036,0.4786,0.4786,-0.1192,-0.1696,0.9927,1.3403,2.2335,1.5278,40.2453,1.6047,0
