@attribute LWATD numeric
@attribute LCVRAIN numeric
@attribute LPTOWATD numeric
@attribute LPTOWATR numeric
@attribute LWATRGRC numeric
@attribute LHIRX numeric
@attribute LSSTAB2 numeric
@attribute EXPREY numeric
@attribute LEXPREY numeric
@attribute Pecan {0,1}

@data


1193,40.4700,710.0000,128.7000,23.9000,-4.0000,109.4700,50.8000,-2.0000,11.1417,1020.55,2.5000,1,2.5000,13.0975,11.6583,729.3872,670.7057,518.0269,22790.8983,21.1699,1076.5721,45.6403,58.6815,39.9188,0.7147,169.4790,58.6700,27.9000,1.2872,46.4054,59.5065,10.1044,18.7729,90.6903,22.0739,195.9200,1.0875,12.4296,1.4080,6.4723,26.0000,7.0000,0.0000,3.0000,4.0000,4.0000,112.6932,0.0010,0.4286,0.5714,42.8571,7.0000,3.0000,W,0.0314,0.0092,0.0092,0.5944,1.6072,4.3578,3.0320,2.8513,1.1172,2.8630,2.8265,1.0666,1.4456,1.6641,1.6628,1.3784,1.8028,3.4901,3.0088,0.1096,-3.0000,0.9294,1.7684,1.6321,-0.3579,0.0404,2.7144,2.0393,1.7059,2.1096,-1.9586,2.2291,-0.2187,0.1517,0.6031,2.0519,-2.0000,1.3257,1.6666,1.7686,1.3439,1.0948,0.8117,0.6031,-0.1459,-1.7167,494.0169,2.6937,0
1194,39.7300,610.0000,313.8000,23.8000,-4.1000,106.1700,31.7500,1.0000,10.8250,889.25,5.5000,2,5.5000,13.0752,11.3667,712.5953,695.6428,373.7377,20574.5097,17.9874,1143.8294,45.5973,16.9525,24.7903,0.8013,108.9600,74.4200,27.9000,1.4327,29.9049,59.4477,10.0029,27.9376,92.4057,37.7005,195.9200,1.0244,42.0348,1.9067,7.1242,26.0000,7.0000,0.0000,1.0000,6.0000,6.0000,100.0242,0.0010,0.1429,0.8571,14.2857,7.0000,3.0000,W,0.0119,0.0110,0.0110,0.5944,1.5992,4.3133,3.0584,2.7853,1.1164,2.8528,2.8424,1.0556,1.4456,1.6611,1.6618,1.3766,1.8024,3.4903,2.9490,0.1562,-3.0000,1.0607,1.8717,1.1552,-0.8156,0.0147,2.5726,2.0260,1.5017,2.4967,-1.9586,2.0373,-0.2187,0.2826,0.7789,2.0001,-2.0000,1.2550,1.4757,1.2295,1.5763,1.6237,0.8533,0.7789,-0.0962,-1.6778,647.4886,2.8112,0
1195,39.1000,630.0000,362.1000,24.8000,-3.2000,123.4400,34.2900,-2.0000,11.7250,977.13,2.5000,1,2.5000,13.2889,12.0250,742.9420,656.7208,405.3416,22389.0973,21.5370,1039.5660,45.8714,86.2211,31.5217,0.7603,86.4779,89.1500,28.0000,1.5159,27.7787,59.8854,9.9503,25.9552,84.8643,31.8752,144.0654,1.1313,8.6167,1.8329,9.3791,28.0000,7.0000,0.0000,3.0000,4.0000,4.0000,79.2129,0.0010,0.4286,0.5714,42.8571,7.0000,3.0000,W,0.0544,0.0114,0.0114,0.5944,1.5923,4.3500,3.0169,2.7993,1.1235,2.8710,2.8174,1.0801,1.4472,1.6695,1.6702,1.3945,1.8054,3.4892,2.9900,0.1807,-3.0000,0.9294,1.9501,1.6321,-0.3579,0.0574,2.6078,2.0915,1.5352,2.5588,-1.9586,1.9370,-0.2187,0.2655,0.6031,1.8989,-2.0000,1.3332,1.4437,1.9357,1.5035,0.9358,0.9726,0.6031,-0.1190,-1.6696,472.1136,2.6740,1
1196,41.5000,543.0000,40.2000,23.2000,-5.7000,105.1600,48.7700,-3.0000,9.6917,973.06,1.5000,1,1.5000,12.8618,10.6167,684.1702,622.8990,515.3415,22565.4171,23.6979,952.2112,44.1597,61.2712,42.2248,0.7031,157.4815,56.3900,28.9000,1.2969,46.3769,57.6246,10.3832,18.1115,107.1349,22.3355,195.9200,1.0984,11.1663,1.3276,6.0573,26.0000,7.0000,0.0000,3.0000,4.0000,4.0000,112.9488,0.0010,0.4286,0.5714,42.8571,7.0000,3.0000,W,0.0719,0.0092,0.0092,0.5944,1.6182,4.3534,2.9787,2.7348,1.1093,2.8352,2.7944,1.0260,1.4609,1.6502,1.6464,1.3655,1.7898,3.4924,2.9881,0.1129,-3.0000,0.8751,1.7512,1.6321,-0.3579,0.0447,2.7121,2.0219,1.6882,1.6043,-1.9586,2.1973,-0.2187,0.1263,0.6031,2.0529,-2.0000,1.3747,1.6663,1.7873,1.3490,1.0483,0.7830,0.6031,-0.1530,-1.7167,495.3905,2.6949,0
1197,41.1300,640.0000,64.4000,23.6000,-5.7000,110.2400,40.1300,0.1000,9.9500,938.80,4.6000,2,4.6000,12.9169,10.8500,695.6663,680.2891,425.2164,22073.3864,20.0262,1102.2275,43.9022,15.3772,34.9498,0.7410,111.0551,70.1100,29.3000,1.4091,36.4024,57.2886,10.5003,23.9506,105.5311,30.6143,195.9200,1.0226,45.2401,1.6360,6.0655,26.0000,7.0000,0.0000,1.0000,6.0000,6.0000,114.6926,0.0010,0.1429,0.8571,14.2857,7.0000,3.0000,W,0.0001,0.0102,0.0102,0.5944,1.6143,4.3439,3.0423,2.8062,1.1112,2.8424,2.8327,1.0354,1.4669,1.6527,1.6464,1.3729,1.7874,3.4921,2.9726,0.1489,-3.0000,1.0253,1.8458,1.1552,-0.8156,0.0139,2.6286,2.0423,1.6035,1.8090,-1.9586,2.0456,-0.2187,0.2164,0.7789,2.0596,-2.0000,1.3016,1.5611,1.1872,1.4859,1.6556,0.7836,0.7789,-0.1302,-1.6946,523.6465,2.7190,0
1198,37.9800,380.0000,450.6000,26.6000,-0.8000,115.3200,41.1500,-2.0000,13.5333,979.93,2.5000,1,2.5000,13.7514,13.6000,812.6459,673.8912,355.0497,19851.2342,18.2948,1085.0732,46.9553,138.7547,20.5851,0.8293,44.9600,74.1700,27.4000,1.4122,35.6833,61.7318,9.8000,24.8228,72.4140,30.3974,117.3525,1.2059,5.8567,2.2888,12.2302,26.0000,7.0000,0.0000,3.0000,4.0000,3.0000,66.4460,0.0010,0.4286,0.4286,42.8571,7.0000,3.0000,W,0.0483,0.0114,0.0114,0.5944,1.5797,4.2978,3.0355,2.5798,1.1383,2.9099,2.8286,1.1335,1.4378,1.6860,1.6920,1.4249,1.8178,3.4875,2.9912,0.1499,-3.0000,0.9294,1.8702,1.6321,-0.3579,0.0849,2.5503,2.0619,1.6144,2.6538,-1.9586,1.6529,-0.2187,0.3615,0.6031,1.8225,-2.0000,1.2623,1.5525,2.1423,1.4828,0.7684,1.0878,0.4786,-0.0813,-1.6696,381.3163,2.5813,1
1199,41.2500,780.0000,201.2000,22.8000,-7.2000,106.4300,35.0500,-2.0000,8.9833,914.93,2.5000,1,2.5000,12.6947,10.2333,668.4488,658.1267,416.9217,23221.8004,22.2588,1043.2630,42.6983,10.3221,36.8736,0.7306,105.1412,71.3800,30.0000,1.3959,32.9324,55.7522,10.7508,24.9876,119.6750,32.7731,195.9200,1.0157,64.7590,1.6033,6.2054,28.0000,7.0000,0.0000,1.0000,6.0000,6.0000,107.7213,0.0010,0.1429,0.8571,14.2857,7.0000,3.0000,W,0.0412,0.0099,0.0099,0.5944,1.6155,4.3659,3.0184,2.8921,1.1036,2.8251,2.8183,1.0100,1.4771,1.6433,1.6314,1.3579,1.7764,3.4941,2.9614,0.1449,-3.0000,0.9294,1.8536,1.1552,-0.8156,0.0110,2.6201,2.0271,1.5447,2.3036,-1.9586,2.0218,-0.2187,0.2077,0.7789,2.0323,-2.0000,1.3475,1.5176,1.0142,1.5155,1.8114,0.7935,0.7789,-0.1363,-1.7011,722.7276,2.8590,0
1200,41.0300,460.0000,169.0000,24.3000,-4.7000,106.4300,53.0900,0.1000,11.0333,1047.26,4.6000,2,4.6000,13.0919,11.6917,734.9854,684.7505,467.0518,23378.6332,20.9814,1114.2527,44.5548,50.2350,42.4872,0.7018,172.8722,53.3400,29.0000,1.2195,49.8826,58.1530,10.4430,18.5845,94.6499,21.2950,195.9200,1.0734,14.6309,1.5737,6.4384,26.0000,7.0000,0.0000,2.0000,5.0000,5.0000,114.1559,0.0010,0.2857,0.7143,28.5714,7.0000,3.0000,W,0.0001,0.0086,0.0086,0.5944,1.6132,4.3688,3.0470,2.6628,1.1170,2.8663,2.8355,1.0679,1.4624,1.6631,1.6561,1.3856,1.7935,3.4906,3.0201,0.0862,-3.0000,1.0253,1.7271,1.4561,-0.5291,0.0348,2.6694,2.0271,1.7250,2.2279,-1.9586,2.2378,-0.2187,0.1997,0.6998,2.0575,-2.0000,1.3218,1.6979,1.7011,1.3283,1.1656,0.8095,0.6998,-0.1538,-1.7305,434.1176,2.6376,0
1201,40.5800,700.0000,305.8000,24.3000,-5.3000,106.6800,39.3700,-2.0000,10.5000,962.67,2.5000,1,2.5000,13.0426,11.3250,717.1334,673.8842,431.1944,21891.6303,20.1756,1085.0545,43.8848,43.2492,34.2386,0.7449,135.9544,67.3100,29.6000,1.3298,36.9048,57.2872,10.6152,23.5117,101.0968,29.3081,195.9200,1.0642,16.5814,1.6631,6.5383,26.0000,7.0000,0.0000,1.0000,6.0000,6.0000,109.6824,0.0010,0.1429,0.8571,14.2857,7.0000,3.0000,W,0.0362,0.0097,0.0097,0.5944,1.6084,4.3403,3.0355,2.8451,1.1154,2.8556,2.8286,1.0540,1.4713,1.6580,1.6503,1.3856,1.7874,3.4915,2.9835,0.1238,-3.0000,0.9294,1.8281,1.1552,-0.8156,0.0311,2.6347,2.0281,1.5952,2.4855,-1.9586,2.1334,-0.2187,0.2235,0.7789,2.0402,-2.0000,1.3048,1.5671,1.6361,1.4670,1.2199,0.8161,0.7789,-0.1279,-1.7055,590.5153,2.7712,0
1202,42.4300,840.0000,16.1000,22.3000,-6.7000,116.3300,37.3400,-2.0000,8.6583,994.16,2.5000,1,2.5000,12.6595,9.8417,651.8438,615.7127,388.3228,26488.2059,28.3586,934.0447,43.5543,36.1311,52.5151,0.6557,137.9200,78.9900,29.0000,1.4042,32.0983,56.9094,10.4133,27.1434,120.2693,32.7634,117.3525,1.0587,18.0411,1.6786,9.4011,30.0000,6.0000,0.0000,1.0000,5.0000,4.0000,69.3369,0.0010,0.1667,0.6667,16.6667,7.0000,3.0000,W,0.0400,0.0095,0.0095,0.5095,1.6278,4.4231,2.9704,2.9243,1.1024,2.8141,2.7894,0.9931,1.4624,1.6401,1.6365,1.3483,1.7847,3.4942,2.9975,0.1474,-3.0000,0.9294,1.8976,1.2221,-0.7528,0.0289,2.5892,2.0657,1.5722,1.2071,-1.9586,2.1397,-0.2844,0.2275,0.6998,1.8410,-2.0000,1.4527,1.5065,1.5580,1.5154,1.2565,0.9736,0.6031,-0.1833,-1.7100,445.9382,2.6493,0
1203,40.1500,583.0000,225.3000,23.9000,-4.7000,131.8300,68.0700,-2.0000,10.6417,1151.64,2.5000,1,2.5000,13.0383,11.3083,713.5044,688.0376,543.5357,27838.9808,24.7866,1123.1460,44.8361,25.4667,61.4062,0.6196,161.7324,63.7600,28.6000,1.3737,51.6347,58.4906,10.2916,19.4565,96.7105,20.2735,195.9200,1.0370,28.0172,1.3127,6.1433,28.0000,7.0000,0.0000,2.0000,5.0000,6.0000,116.1428,0.0010,0.2857,0.8571,28.5714,7.0000,3.0000,W,0.0368,0.0092,0.0092,0.5944,1.6038,4.4447,3.0504,2.7657,1.1152,2.8534,2.8376,1.0534,1.4564,1.6594,1.6561,1.3784,1.7958,3.4909,3.0613,0.1379,-3.0000,0.9294,1.8045,1.4561,-0.5291,0.0199,2.7352,2.1200,1.8330,2.3528,-1.9586,2.2088,-0.2187,0.1215,0.6998,2.0650,-2.0000,1.3942,1.7129,1.4061,1.3069,1.4476,0.7891,0.7789,-0.2079,-1.7167,553.0420,2.7428,1
1204,42.2500,810.0000,64.4000,22.9000,-7.1000,108.9700,32.0000,-2.0000,8.9083,920.24,2.5000,1,2.5000,12.7158,10.1750,668.9356,593.5842,351.7097,22571.1634,25.6787,878.9834,42.7532,75.3514,37.5678,0.7269,81.1839,76.9700,30.0000,1.4210,29.3659,55.8174,10.7900,25.0442,121.1227,32.6579,117.3525,1.1269,8.8775,1.9020,9.4538,28.0000,7.0000,0.0000,2.0000,5.0000,5.0000,70.7587,0.0010,0.2857,0.7143,28.5714,7.0000,3.0000,W,0.0434,0.0101,0.0101,0.5944,1.6259,4.3536,2.9440,2.9085,1.1043,2.8254,2.7735,1.0075,1.4771,1.6425,1.6325,1.3598,1.7768,3.4943,2.9639,0.1526,-3.0000,0.9294,1.8863,1.4561,-0.5291,0.0557,2.5462,2.0373,1.5051,1.8090,-1.9586,1.9095,-0.2187,0.2815,0.6998,1.8498,-2.0000,1.4096,1.4678,1.8771,1.5140,0.9488,0.9761,0.6998,-0.1385,-1.6968,409.5360,2.6123,0
1205,37.7700,477.0000,442.6000,24.6000,-1.9000,115.8200,32.7700,-1.0000,12.0917,926.59,3.5000,2,3.5000,13.3855,12.2500,743.1427,677.2282,359.3982,20390.4528,18.6383,1094.0071,47.5257,65.9145,24.6853,0.8020,117.3016,83.0500,26.5000,1.5000,28.2939,61.9253,9.4671,28.6655,78.2946,37.1238,117.3525,1.0973,11.2743,2.0677,11.0446,26.0000,7.0000,0.0000,3.0000,4.0000,4.0000,67.2854,0.0010,0.4286,0.5714,42.8571,7.0000,3.0000,W,0.0138,0.0118,0.0118,0.5944,1.5773,4.3094,3.0390,2.6785,1.1266,2.8711,2.8307,1.0881,1.4232,1.6729,1.6821,1.3909,1.8191,3.4883,2.9669,0.1761,-3.0000,0.9777,1.9193,1.6321,-0.3579,0.0443,2.5556,2.0638,1.5155,2.6460,-1.9586,2.0693,-0.2187,0.3176,0.6031,1.8280,-2.0000,1.2704,1.4517,1.8190,1.5697,1.0525,1.0435,0.6031,-0.0958,-1.6615,413.8596,2.6169,1
1206,40.2000,585.0000,241.4000,24.3000,-4.2000,107.9500,37.5900,-2.0000,11.2667,940.05,2.5000,1,2.5000,13.1342,11.8333,738.4949,695.8697,429.6574,21004.2060,18.3531,1144.4488,45.1190,42.6252,27.2927,0.7856,127.9871,70.3600,28.5000,1.3780,34.8217,58.8745,10.3161,23.8068,91.5632,30.3900,195.9200,1.0613,17.3253,1.7188,6.9362,26.0000,7.0000,0.0000,2.0000,5.0000,4.0000,106.4690,0.0010,0.2857,0.5714,28.5714,7.0000,3.0000,W,0.0418,0.0103,0.0103,0.5944,1.6043,4.3223,3.0586,2.7672,1.1184,2.8683,2.8425,1.0731,1.4548,1.6653,1.6609,1.3856,1.7985,3.4902,2.9732,0.1392,-3.0000,0.9294,1.8473,1.4561,-0.5291,0.0299,2.6331,2.0332,1.5751,2.3828,-1.9586,2.1072,-0.2187,0.2377,0.6998,2.0273,-2.0000,1.2637,1.5418,1.6298,1.4827,1.2389,0.8417,0.6031,-0.1048,-1.6925,571.9508,2.7574,0
1207,39.4700,718.0000,249.4000,24.6000,-4.0000,106.6800,38.8600,-2.0000,11.3583,907.04,2.5000,1,2.5000,13.1913,11.8667,739.0368,667.1195,422.4456,19965.4958,18.7112,1067.0335,45.1234,71.9173,22.7327,0.8148,126.5551,67.8200,28.6000,1.4114,36.4267,58.9080,10.3268,21.7172,90.9182,28.7315,195.9200,1.1078,10.2762,1.7494,7.0693,26.0000,7.0000,0.0000,3.0000,4.0000,4.0000,104.5416,0.0010,0.4286,0.5714,42.8571,7.0000,3.0000,W,0.0461,0.0109,0.0109,0.5944,1.5964,4.3003,3.0282,2.8561,1.1203,2.8687,2.8242,1.0743,1.4564,1.6661,1.6628,1.3909,1.7987,3.4901,2.9576,0.1497,-3.0000,0.9294,1.8314,1.6321,-0.3579,0.0484,2.6258,2.0281,1.5895,2.3969,-1.9586,2.1023,-0.2187,0.2454,0.6031,2.0193,-2.0000,1.2721,1.5614,1.8569,1.4584,1.0123,0.8500,0.6031,-0.0889,-1.6799,565.4164,2.7524,1
1208,38.0800,446.0000,394.3000,25.3000,-1.3000,103.8900,30.9900,-1.0000,12.7333,856.24,3.5000,2,3.5000,13.5376,12.8417,771.9183,655.4703,285.0286,17051.9634,16.4549,1036.2821,47.6016,116.4481,10.9237,0.9015,22.0602,72.9000,26.6000,1.4560,29.8296,62.1622,9.5501,25.5352,75.0007,35.7869,117.3525,1.1777,6.6289,2.7082,13.5863,24.0000,7.0000,0.0000,3.0000,4.0000,3.0000,56.8159,0.0010,0.4286,0.4286,42.8571,7.0000,3.0000,W,0.0136,0.0122,0.0122,0.5944,1.5808,4.2318,3.0155,2.6493,1.1315,2.8876,2.8166,1.1086,1.4249,1.6788,1.6875,1.4031,1.8206,3.4878,2.9326,0.1632,-3.0000,0.9777,1.8627,1.6321,-0.3579,0.0747,2.4549,2.0166,1.4912,2.5958,-1.9586,1.3438,-0.2187,0.4343,0.6031,1.7545,-2.0000,1.2163,1.4746,2.0662,1.5537,0.8221,1.1334,0.4786,-0.0450,-1.6536,435.7382,2.6392,1
1209,40.9200,750.0000,152.9000,23.5000,-5.9000,108.4600,50.0400,-2.0000,10.0000,961.65,2.5000,1,2.5000,12.8877,10.9417,698.9854,623.8645,494.5634,22974.7268,24.0658,954.6625,43.7405,75.1209,37.5780,0.7269,155.1487,58.4200,29.4000,1.3534,46.1368,57.0803,10.5566,17.2422,105.5660,21.5158,195.9200,1.1204,9.3048,1.4133,6.3271,28.0000,7.0000,0.0000,3.0000,4.0000,4.0000,110.4742,0.0010,0.4286,0.5714,42.8571,7.0000,3.0000,W,0.0375,0.0097,0.0097,0.5944,1.6120,4.3613,2.9798,2.8751,1.1102,2.8445,2.7951,1.0391,1.4683,1.6532,1.6444,1.3711,1.7859,3.4921,2.9830,0.1314,-3.0000,0.9294,1.7666,1.6321,-0.3579,0.0532,2.6942,2.0353,1.6993,2.1844,-1.9586,2.1908,-0.2187,0.1533,0.6031,2.0433,-2.0000,1.3814,1.6640,1.8758,1.3328,0.9692,0.8019,0.6031,-0.1385,-1.7055,488.8047,2.6891,0
1210,41.4700,592.0000,225.3000,24.1000,-6.1000,106.6800,44.4500,-2.0000,10.1000,945.88,2.5000,1,2.5000,12.9529,11.1000,710.6604,652.8482,418.9454,21469.3626,20.8560,1029.4097,43.1328,57.8122,33.0987,0.7513,116.3690,62.2300,30.2000,1.3534,41.6667,56.2952,10.8293,19.4176,107.2212,24.6343,195.9200,1.0886,12.2926,1.6963,6.4776,26.0000,7.0000,0.0000,3.0000,4.0000,4.0000,109.7108,0.0010,0.4286,0.5714,42.8571,7.0000,3.0000,W,0.0382,0.0098,0.0098,0.5944,1.6178,4.3318,3.0126,2.7723,1.1124,2.8517,2.8148,1.0453,1.4800,1.6542,1.6425,1.3820,1.7803,3.4924,2.9758,0.1314,-3.0000,0.9294,1.7940,1.6321,-0.3579,0.0408,2.6222,2.0281,1.6479,2.3528,-1.9586,2.0659,-0.2187,0.2321,0.6031,2.0403,-2.0000,1.3192,1.6198,1.7621,1.3915,1.0900,0.8121,0.6031,-0.1242,-1.7033,508.0768,2.7059,1
1211,40.9200,745.0000,265.5000,23.6000,-5.2000,112.0100,34.5400,-1.0000,10.4917,917.68,3.5000,2,3.5000,12.9565,11.2750,713.0752,684.2251,416.6798,21095.9513,18.9570,1112.8339,44.4704,28.8501,28.6933,0.7770,113.4364,77.4700,28.8000,1.4647,30.8365,58.0175,10.3724,24.6206,98.8630,32.1951,195.9200,1.0422,24.7166,1.7113,6.6265,26.0000,7.0000,0.0000,1.0000,6.0000,6.0000,107.6098,0.0010,0.1429,0.8571,14.2857,7.0000,3.0000,W,0.0122,0.0108,0.0108,0.5944,1.6120,4.3242,3.0464,2.8722,1.1125,2.8531,2.8352,1.0521,1.4594,1.6579,1.6513,1.3729,1.7925,3.4912,2.9627,0.1657,-3.0000,0.9777,1.8891,1.1552,-0.8156,0.0221,2.6198,2.0493,1.5383,2.4241,-1.9586,2.0548,-0.2187,0.2359,0.7789,2.0319,-2.0000,1.2778,1.4891,1.4603,1.5078,1.3932,0.8219,0.7789,-0.1096,-1.6819,605.9268,2.7824,0
1212,41.8000,603.0000,177.0000,23.0000,-7.0000,116.0800,49.0200,0.1000,9.1667,1007.88,4.6000,2,4.6000,12.7368,10.4000,677.7770,651.3541,396.4871,25153.9718,24.5284,1025.5019,42.8074,26.4230,48.7038,0.6725,109.3632,67.0600,30.0000,1.3821,42.2295,55.8824,10.7840,22.3730,117.6439,26.6377,169.2071,1.0406,25.6510,1.7095,7.1021,28.0000,7.0000,0.0000,2.0000,5.0000,6.0000,95.4327,0.0010,0.2857,0.8571,28.5714,7.0000,3.0000,W,0.0001,0.0094,0.0094,0.5944,1.6213,4.4006,3.0109,2.7803,1.1051,2.8311,2.8138,1.0170,1.4771,1.6451,1.6335,1.3617,1.7773,3.4938,3.0034,0.1405,-3.0000,1.0253,1.8265,1.4561,-0.5291,0.0214,2.5982,2.0648,1.6904,2.2480,-1.9586,2.0389,-0.2187,0.2354,0.6998,1.9797,-2.0000,1.3897,1.6256,1.4221,1.4255,1.4093,0.8520,0.7789,-0.1723,-1.7122,500.9769,2.6998,0
1213,39.4200,630.0000,289.7000,24.1000,-4.3000,119.1300,38.3500,1.0000,11.1000,956.32,5.5000,2,5.5000,13.0989,11.6583,727.4189,704.4702,422.8837,22867.2480,19.5777,1168.0245,45.1505,22.9487,31.4676,0.7606,117.0103,80.7800,28.4000,1.4949,32.1917,58.9001,10.2508,28.0085,92.3492,35.1453,195.9200,1.0326,31.6976,1.7201,6.6813,28.0000,7.0000,0.0000,2.0000,5.0000,6.0000,108.8739,0.0010,0.2857,0.8571,28.5714,7.0000,3.0000,W,0.0129,0.0111,0.0111,0.5944,1.5958,4.3592,3.0675,2.7993,1.1172,2.8618,2.8479,1.0666,1.4533,1.6637,1.6599,1.3820,1.7987,3.4903,2.9806,0.1746,-3.0000,1.0607,1.9073,1.4561,-0.5291,0.0181,2.6262,2.0760,1.5838,2.4620,-1.9586,2.0683,-0.2187,0.2381,0.6998,2.0370,-2.0000,1.2918,1.5077,1.3609,1.5459,1.5012,0.8255,0.7789,-0.1188,-1.6757,533.6030,2.7272,0
1214,38.4200,430.0000,426.5000,25.5000,-1.4000,95.7600,45.2100,-2.0000,12.8500,891.27,2.5000,1,2.5000,13.5530,12.9667,779.8360,615.5146,326.9154,17224.2073,18.4503,933.5459,47.3096,164.3214,14.2894,0.8750,45.2100,50.5500,26.9000,1.2893,47.2118,61.8440,9.6322,18.4457,74.9587,24.8352,117.3525,1.2670,4.7458,2.3854,13.2748,24.0000,7.0000,0.0000,4.0000,3.0000,3.0000,58.7458,0.0010,0.5714,0.4286,57.1429,6.0000,3.0000,W,0.0362,0.0106,0.0106,0.5944,1.5847,4.2361,2.9701,2.6335,1.1320,2.8920,2.7892,1.1128,1.4298,1.6799,1.6866,1.4065,1.8185,3.4878,2.9500,0.1104,-3.0000,0.9294,1.7037,1.7570,-0.2355,0.1062,2.5144,1.9812,1.6552,2.6299,-1.9586,1.6553,-0.2187,0.3794,0.4786,1.7691,-2.0000,1.2660,1.6741,2.2157,1.3951,0.6772,1.1234,0.4786,-0.0580,-1.6861,418.8747,2.6221,1
1215,42.1000,640.0000,96.6000,22.2000,-7.7000,130.0500,69.3400,-2.0000,8.3917,1111.51,2.5000,1,2.5000,12.5752,9.8000,651.0616,583.0516,457.9628,27796.5349,32.5774,853.2447,42.4668,68.0100,70.7227,0.5857,113.5118,60.7100,29.9000,1.4040,53.3180,55.5060,10.7201,19.1911,127.7471,20.7189,117.3525,1.1166,9.5730,1.4216,9.7570,28.0000,7.0000,0.0000,3.0000,4.0000,4.0000,66.7279,0.0010,0.4286,0.5714,42.8571,7.0000,3.0000,W,0.0373,0.0089,0.0089,0.5944,1.6244,4.4440,2.9311,2.8062,1.0995,2.8136,2.7657,0.9912,1.4757,1.6374,1.6263,1.3464,1.7746,3.4952,3.0459,0.1474,-3.0000,0.9294,1.7833,1.6321,-0.3579,0.0518,2.6608,2.1141,1.8410,1.9850,-1.9586,2.0551,-0.2187,0.1558,0.6031,1.8244,-2.0000,1.5129,1.7269,1.8326,1.3164,0.9815,0.9898,0.6031,-0.2323,-1.7235,413.0217,2.6160,0
1216,38.3500,490.0000,378.2000,25.1000,-2.3000,127.7600,40.1300,-2.0000,12.1667,954.55,2.5000,1,2.5000,13.4124,12.3583,754.3851,634.3125,350.9377,21337.3113,21.7428,981.3489,46.6438,120.0727,26.5335,0.7903,88.2127,87.6300,27.4000,1.6061,31.4105,60.9130,9.7765,25.0258,80.3551,31.4609,117.3525,1.1893,6.2827,2.1496,10.9235,28.0000,7.0000,0.0000,3.0000,4.0000,3.0000,69.0607,0.0010,0.4286,0.4286,42.8571,7.0000,3.0000,W,0.0639,0.0125,0.0125,0.5944,1.5839,4.3291,2.9918,2.6902,1.1275,2.8776,2.8023,1.0920,1.4378,1.6736,1.6785,1.3997,1.8123,3.4886,2.9798,0.2058,-3.0000,0.9294,1.9427,1.6321,-0.3579,0.0789,2.5452,2.1064,1.6035,2.5777,-1.9586,1.9456,-0.2187,0.3344,0.6031,1.8393,-2.0000,1.3373,1.4971,2.0795,1.4978,0.7988,1.0388,0.4786,-0.1022,-1.6478,366.3199,2.5639,1
1217,39.6300,615.0000,257.5000,24.4000,-4.0000,116.3300,62.2300,-2.0000,11.2917,1071.63,2.5000,1,2.5000,13.1648,11.8000,734.9526,652.6714,475.6548,24756.1033,24.0596,1028.9470,45.2721,82.2812,45.8094,0.6858,137.9762,54.1000,28.4000,1.3027,53.4944,59.0778,10.2314,17.8642,90.6099,20.0042,195.9200,1.1261,8.9322,1.5451,6.7788,28.0000,7.0000,0.0000,3.0000,4.0000,4.0000,108.4189,0.0010,0.4286,0.5714,42.8571,7.0000,3.0000,W,0.0324,0.0092,0.0092,0.5944,1.5981,4.3937,3.0124,2.7889,1.1194,2.8663,2.8147,1.0719,1.4533,1.6655,1.6628,1.3874,1.7999,3.4900,3.0300,0.1148,-3.0000,0.9294,1.7332,1.6321,-0.3579,0.0554,2.6773,2.0657,1.7940,2.4108,-1.9586,2.1398,-0.2187,0.1918,0.6031,2.0351,-2.0000,1.3813,1.7283,1.9154,1.3011,0.9514,0.8318,0.6031,-0.1638,-1.7167,507.6521,2.7056,0
1218,38.3700,515.0000,394.3000,25.6000,-1.2000,108.9700,42.4200,-2.0000,13.1250,954.54,2.5000,1,2.5000,13.5862,13.2250,791.6349,654.6971,358.9707,19603.9002,18.9546,1034.2537,47.4432,136.9378,20.5783,0.8293,42.4200,66.5500,26.8000,1.3699,38.9281,62.0397,9.6127,21.9350,73.2396,27.5756,117.3525,1.2092,5.7810,2.2053,11.7440,26.0000,7.0000,0.0000,3.0000,4.0000,3.0000,67.4076,0.0010,0.4286,0.4286,42.8571,7.0000,3.0000,W,0.0436,0.0109,0.0109,0.5944,1.5841,4.2923,3.0146,2.7118,1.1331,2.8985,2.8160,1.1214,1.4281,1.6824,1.6884,1.4082,1.8198,3.4876,2.9798,0.1367,-3.0000,0.9294,1.8231,1.6321,-0.3579,0.0861,2.5551,2.0373,1.6276,2.5958,-1.9586,1.6277,-0.2187,0.3454,0.6031,1.8288,-2.0000,1.2777,1.5903,2.1366,1.4405,0.7628,1.0702,0.4786,-0.0813,-1.6799,377.2393,2.5766,1
