@attribute LWATD numeric
@attribute LCVRAIN numeric
@attribute LPTOWATD numeric
@attribute LPTOWATR numeric
@attribute LWATRGRC numeric
@attribute LHIRX numeric
@attribute LSSTAB2 numeric
@attribute EXPREY numeric
@attribute LEXPREY numeric
@attribute Pecan {0,1}

@data


9,33.4500,280.0000,295.0000,25.8000,4.9000,171.7000,93.4700,-4.0000,15.7250,1536.70,0.5000,1,0.5000,14.3737,15.7250,848.3643,812.2603,827.1402,39056.2633,26.3996,1479.4288,54.0939,36.1040,81.1368,0.5521,0.0000,78.2300,20.9000,1.3408,54.4380,70.4802,7.6152,24.9526,48.4273,19.4853,174.5200,1.0444,23.4978,1.0257,7.7333,28.0000,9.0000,0.0000,2.0000,7.0000,7.0000,109.7025,0.0010,0.2222,0.7778,22.2222,7.0000,3.0000,W,0.1432,0.0094,0.0094,0.7642,1.5245,4.5917,3.1701,2.4472,1.1576,2.9286,2.9097,1.1966,1.3201,1.7052,1.7396,1.4116,1.8720,3.4841,3.1866,0.1274,-3.0000,0.8129,1.8934,1.3470,-0.6341,0.0230,2.9176,2.2348,1.9707,2.4698,-1.9586,-2.0000,-0.1111,0.0152,0.8457,2.0403,-2.0000,1.4216,1.7359,1.5577,1.2897,1.3712,0.8889,0.8457,-0.2580,-1.7122,546.3719,2.7375,0
10,30.8800,271.0000,16.0000,26.7000,9.1000,210.0600,78.2300,0.1000,18.5250,1718.06,4.6000,2,4.5000,15.2188,18.5250,969.4687,969.4687,749.5659,41942.2717,21.1352,1984.4771,56.9858,0.0000,77.2167,0.5643,0.0000,131.8300,17.6000,1.4672,37.2417,75.4533,6.5778,31.1495,35.5077,21.7567,174.5200,1.0000,969.4687,1.2934,7.3491,30.0000,12.0000,0.0000,0.0000,12.0000,12.0000,131.9171,0.0010,0.0000,1.0000,0.0000,8.0000,4.0000,W,0.0001,0.0109,0.0109,1.0190,1.4898,4.6227,3.2976,2.4330,1.1824,2.9865,2.9865,1.2678,1.2455,1.7286,1.7716,1.4265,1.9001,3.4822,3.2350,0.1665,-3.0000,1.0212,2.1200,-2.0000,-2.0000,0.0043,2.8748,2.3223,1.8934,1.2044,-1.9586,-2.0000,0.0124,0.1151,1.0795,2.1203,-2.0000,1.3250,1.5710,-2.0000,1.3376,2.9865,0.8668,1.0795,-0.2485,-1.6799,714.9198,2.8543,0
11,31.7200,178.0000,116.0000,27.1000,8.9000,172.2100,55.8800,-4.0000,18.5583,1431.54,0.5000,1,4.5000,15.2214,18.5583,975.9617,885.3966,596.4202,25951.2096,15.2023,1707.0602,56.1543,90.5651,46.6799,0.6818,0.0000,116.3300,18.2000,1.4436,32.4488,74.7573,6.6902,29.9251,36.0497,25.0850,174.5200,1.1023,10.7764,1.6364,11.9427,24.0000,12.0000,0.0000,4.0000,8.0000,8.0000,81.7204,0.0010,0.3333,0.6667,33.3333,7.0000,4.0000,W,0.2083,0.0118,0.0118,1.0190,1.5015,4.4142,3.2322,2.2504,1.1825,2.9894,2.9471,1.2685,1.2601,1.7288,1.7701,1.4330,1.8963,3.4823,3.1558,0.1594,-3.0000,1.0212,2.0657,1.5230,-0.4643,0.0462,2.7756,2.2361,1.7473,2.0645,-1.9586,-2.0000,0.0124,0.2165,0.9036,1.9124,-2.0000,1.1819,1.5112,1.9570,1.3994,1.0329,1.0775,0.9036,-0.1663,-1.6615,809.3566,2.9081,0
12,34.6800,600.0000,442.0000,26.2000,3.8000,159.7700,82.5500,-4.0000,15.4750,1404.87,0.5000,1,0.5000,14.2632,15.4750,853.4114,770.4849,694.5149,28512.9585,21.0385,1355.2782,52.3697,82.9265,64.6181,0.6075,0.0000,77.2200,22.4000,1.3647,51.6680,68.5393,8.1576,22.0499,52.7144,18.8344,174.5200,1.1076,10.2912,1.2288,8.1419,26.0000,9.0000,0.0000,3.0000,6.0000,6.0000,104.8170,0.0010,0.3333,0.6667,33.3333,7.0000,3.0000,W,0.1564,0.0099,0.0099,0.7642,1.5402,4.4550,3.1320,2.7782,1.1542,2.9312,2.8868,1.1896,1.3502,1.7031,1.7308,1.4183,1.8606,3.4847,3.1476,0.1350,-3.0000,0.8129,1.8877,1.5230,-0.4643,0.0483,2.8417,2.2035,1.9167,2.6454,-1.9586,-2.0000,-0.1111,0.0930,0.7789,2.0205,-2.0000,1.3230,1.7132,1.9187,1.2750,1.0129,0.9113,0.7789,-0.2165,-1.7011,549.2997,2.7398,0
13,33.4000,445.0000,291.0000,27.2000,6.1000,163.8300,87.8800,-4.0000,17.0667,1508.25,0.5000,1,0.5000,14.7285,17.0667,919.9696,833.8049,760.6079,31082.6087,20.1164,1545.1369,53.4219,86.1647,63.9456,0.6100,0.0000,75.9500,21.1000,1.3035,53.6410,70.7756,7.6748,22.0382,44.9695,17.5341,174.5200,1.1033,10.6769,1.2095,8.8056,28.0000,10.0000,0.0000,2.0000,8.0000,8.0000,104.4760,0.0010,0.2000,0.8000,20.0000,7.0000,4.0000,W,0.1372,0.0097,0.0097,0.8492,1.5239,4.4925,3.1890,2.6484,1.1682,2.9638,2.9211,1.2321,1.3243,1.7166,1.7490,1.4346,1.8738,3.4836,3.1785,0.1151,-3.0000,0.8129,1.8805,1.3012,-0.6778,0.0466,2.8812,2.2144,1.9439,2.4639,-1.9586,-2.0000,-0.0659,0.0862,0.9036,2.0191,-2.0000,1.3036,1.7295,1.9354,1.2439,1.0289,0.9453,0.9036,-0.2147,-1.7055,564.6061,2.7517,0
14,33.6600,615.0000,386.0000,26.8000,5.9000,154.9400,82.0400,-4.0000,16.7667,1371.34,0.5000,1,0.5000,14.6505,16.7667,901.6097,808.9871,629.9544,27044.5664,18.4034,1469.5455,53.7838,92.6225,52.0991,0.6575,0.0000,72.9000,20.9000,1.3558,52.9495,70.8914,7.5862,20.8685,45.2454,18.2611,174.5200,1.1145,9.7342,1.4312,9.2048,26.0000,10.0000,0.0000,3.0000,7.0000,7.0000,97.9497,0.0010,0.3000,0.7000,30.0000,7.0000,4.0000,W,0.1635,0.0105,0.0105,0.8492,1.5272,4.4321,3.1672,2.7889,1.1659,2.9550,2.9079,1.2244,1.3201,1.7141,1.7474,1.4281,1.8744,3.4836,3.1371,0.1322,-3.0000,0.8129,1.8627,1.4773,-0.5086,0.0510,2.7993,2.1902,1.9140,2.5866,-1.9586,-2.0000,-0.0659,0.1587,0.8457,1.9910,-2.0000,1.2649,1.7239,1.9668,1.2615,0.9887,0.9645,0.8457,-0.1821,-1.6882,634.2869,2.8023,0
15,31.1300,160.0000,56.0000,26.9000,8.3000,193.0400,87.8800,-4.0000,18.0333,1742.96,0.5000,1,4.5000,15.0827,18.0333,949.9851,949.9851,753.6022,41463.8012,21.6102,1918.7124,55.9429,0.0000,83.4723,0.5450,0.0000,105.1600,18.6000,1.3290,45.5242,74.1307,6.9180,30.7608,38.3623,21.1783,174.5200,1.0000,949.9851,1.2606,6.6079,28.0000,12.0000,0.0000,0.0000,12.0000,12.0000,143.7645,0.0010,0.0000,1.0000,0.0000,8.0000,4.0000,W,0.1436,0.0097,0.0097,1.0190,1.4933,4.6177,3.2830,2.2041,1.1785,2.9777,2.9777,1.2561,1.2695,1.7245,1.7657,1.4298,1.8928,3.4826,3.2413,0.1235,-3.0000,1.0212,2.0219,-2.0000,-2.0000,0.0043,2.8771,2.2856,1.9439,1.7483,-1.9586,-2.0000,0.0124,0.1040,1.0795,2.1577,-2.0000,1.3347,1.6582,-2.0000,1.3259,2.9777,0.8207,1.0795,-0.2636,-1.7055,757.5933,2.8794,0
16,31.0500,85.0000,51.0000,26.7000,8.7000,178.8200,78.4900,0.1000,18.0000,1679.45,4.6000,2,4.5000,15.1385,18.0000,941.0247,941.0247,681.1909,41244.9041,21.8370,1888.7640,56.6275,0.0000,78.4703,0.5603,0.0000,100.3300,18.0000,1.2777,43.8933,74.8954,6.7047,27.4440,37.2482,19.6093,174.5200,1.0000,941.0247,1.3814,6.5472,30.0000,12.0000,0.0000,0.0000,12.0000,12.0000,143.7292,0.0010,0.0000,1.0000,0.0000,8.0000,4.0000,W,0.0001,0.0095,0.0095,1.0190,1.4922,4.6154,3.2762,1.9294,1.1801,2.9736,2.9736,1.2553,1.2553,1.7243,1.7686,1.4265,1.8971,3.4825,3.2252,0.1064,-3.0000,1.0212,2.0014,-2.0000,-2.0000,0.0043,2.8333,2.2524,1.8948,1.7077,-1.9586,-2.0000,0.0124,0.1435,1.0795,2.1576,-2.0000,1.3392,1.6424,-2.0000,1.2925,2.9736,0.8167,1.0795,-0.2516,-1.7100,580.1121,2.7635,0
17,34.9800,670.0000,496.0000,25.4000,3.4000,171.9600,93.7300,-4.0000,14.7833,1588.79,0.5000,1,0.5000,14.1067,14.7833,817.8509,776.0492,705.3707,38381.3687,27.9836,1371.5643,52.9056,41.8017,94.2640,0.5148,0.0000,78.2300,22.0000,1.2988,54.5069,68.7500,7.9990,23.4708,54.1079,17.7273,143.0300,1.0539,19.5650,1.1595,8.8808,30.0000,9.0000,0.0000,1.0000,8.0000,8.0000,92.0919,0.0010,0.1111,0.8889,11.1111,7.0000,3.0000,W,0.1209,0.0086,0.0086,0.7642,1.5439,4.5841,3.1372,2.8261,1.1494,2.9127,2.8899,1.1698,1.3424,1.6971,1.7275,1.4048,1.8618,3.4849,3.2011,0.1135,-3.0000,0.8129,1.8934,1.0461,-0.9169,0.0269,2.8484,2.2354,1.9719,2.6955,-1.9586,-2.0000,-0.1111,0.0680,0.9036,1.9643,-2.0000,1.4469,1.7365,1.6213,1.2486,1.2917,0.9489,0.9036,-0.2884,-1.7305,553.5981,2.7432,0
18,32.0300,235.0000,144.0000,26.8000,7.3000,165.8600,67.3100,-4.0000,17.6417,1449.57,0.5000,1,0.5000,14.8873,17.6417,936.9470,857.5631,660.0979,26834.1240,16.5755,1618.9063,55.1617,79.3839,54.7121,0.6464,0.0000,98.5500,19.5000,1.3730,40.5824,72.8412,7.2158,26.9491,40.9022,22.3093,174.5200,1.0926,11.8027,1.4194,9.7936,24.0000,11.0000,0.0000,3.0000,8.0000,8.0000,95.6698,0.0010,0.2727,0.7273,27.2727,7.0000,4.0000,W,0.1710,0.0107,0.0107,0.9341,1.5057,4.4287,3.2092,2.3711,1.1728,2.9717,2.9333,1.2465,1.2900,1.7213,1.7582,1.4281,1.8856,3.4830,3.1612,0.1377,-3.0000,0.8129,1.9937,1.4359,-0.5487,0.0424,2.8196,2.2197,1.8281,2.1584,-1.9586,-2.0000,-0.0250,0.1552,0.9036,1.9808,-2.0000,1.2195,1.6083,1.8998,1.3485,1.0723,0.9914,0.9036,-0.1895,-1.6840,651.6858,2.8140,0
